lat,lon,hectares,date,elevation,temp_c,max_temp_c,min_temp_c,wind_kph,wind_dir,precip_mm,humidity,pressure_hPa,soil_temp_c,soil_moisture,totalsnow_cm
52.332,-119.227,0.0,2024-08-10,1800.0,14.97700023651123,19.231000900268555,9.781000137329102,10.800000190734863,222.12899780273438,0.0,45.95800018310547,824.4500122070312,11.074999809265137,0.13500000536441803,0.0
55.771,-125.789,0.5,2024-08-10,983.0,18.464000701904297,27.003999710083008,6.6539998054504395,9.449999809265137,250.4040069580078,0.0,59.0,904.760009765625,17.441999435424805,0.09300000220537186,0.0
55.881,-119.094,0.3,2024-08-10,652.0,19.68400001525879,29.724000930786133,10.173999786376953,17.874000549316406,118.0790023803711,0.0,55.33300018310547,940.0430297851562,20.22599983215332,0.1599999964237213,0.0
50.483,-122.693,0.0,2024-08-10,1560.0,17.139999389648438,21.902000427246094,13.052000045776367,12.095999717712402,247.63900756835938,0.0,51.625,848.593994140625,17.95400047302246,0.10199999809265137,0.0
52.84,-119.365,0.2,2024-08-10,1095.0,19.3439998626709,26.381000518798828,11.380999565124512,9.387999534606934,205.7779998779297,0.0,37.95800018310547,894.8070068359375,18.760000228881836,0.04100000113248825,0.0
51.156,-115.415,0.5,2024-08-10,1418.0,15.276000022888184,23.54599952697754,6.546000003814697,16.792999267578125,51.058998107910156,0.0,49.875,861.3660278320312,14.498000144958496,0.164000004529953,0.0
60.421,-118.876,1.0,2024-08-10,342.0,24.87700080871582,33.731998443603516,17.832000732421875,18.07900047302246,192.81199645996094,0.0,41.375,970.8109741210938,23.527000427246094,0.1340000033378601,0.0
53.104,-121.722,0.0,2024-08-10,1144.0,19.301000595092773,25.788000106811523,13.588000297546387,8.208999633789062,142.125,0.0,40.79199981689453,889.0919799804688,16.69700050354004,0.06700000166893005,0.0
49.165,-116.026,0.0,2024-08-10,1324.0,18.253000259399414,23.884000778198242,13.133999824523926,20.291000366210938,75.05899810791016,0.0,44.91699981689453,870.6649780273438,17.292999267578125,0.125,0.0
50.044,-121.098,0.0,2024-08-10,1288.0,16.891000747680664,23.025999069213867,11.026000022888184,14.399999618530273,121.60800170898438,0.0,53.58300018310547,873.8560180664062,15.557000160217285,0.13600000739097595,0.0
52.803,-119.222,9.5,2024-08-10,807.0,21.215999603271484,28.253000259399414,13.253000259399414,9.387999534606934,205.7779998779297,0.0,37.95800018310547,925.3300170898438,20.631999969482422,0.04100000113248825,0.0
49.236,-119.761,0.0,2024-08-11,1428.0,16.83099937438965,23.974000930786133,10.723999977111816,12.904999732971191,254.0540008544922,0.0,37.66699981689453,858.4080200195312,20.81800079345703,0.08299999684095383,0.0
49.247,-117.875,0.2,2024-08-10,2044.0,10.857999801635742,17.01799964904785,6.618000030517578,16.874000549316406,18.628000259399414,0.0,60.625,797.6929931640625,15.331999778747559,0.07400000095367432,0.0
52.876,-121.256,0.0,2024-08-10,1689.0,15.97700023651123,20.804000854492188,10.604000091552734,8.913000106811523,210.54800415039062,0.0,47.66699981689453,834.8480224609375,14.303999900817871,0.09700000286102295,0.0
56.595,-122.301,0.0,2024-08-10,877.0,19.874000549316406,29.788999557495117,9.23900032043457,11.383999824523926,165.06900024414062,0.0,48.33300018310547,914.5130004882812,17.145000457763672,0.05999999865889549,0.0
50.104,-120.857,0.0,2024-08-10,1042.0,18.527000427246094,25.799999237060547,12.199999809265137,12.682000160217285,240.48899841308594,0.0,51.08300018310547,899.427978515625,20.249000549316406,0.07699999958276749,0.0
50.802,-118.13,0.0,2024-08-10,1393.0,14.663999557495117,19.53700065612793,10.38700008392334,9.199000358581543,32.38100051879883,0.0,62.75,862.6079711914062,18.194000244140625,0.08799999952316284,0.0
49.15,-119.081,0.0,2024-08-10,1405.0,15.892999649047852,23.18899917602539,10.439000129699707,19.576000213623047,54.749000549316406,0.0,53.375,861.5130004882812,18.000999450683594,0.0989999994635582,0.0
58.873,-117.915,0.2,2024-08-10,342.0,22.257999420166016,31.93199920654297,14.232000350952148,15.717000007629395,157.53700256347656,0.0,48.66699981689453,973.3049926757812,21.281999588012695,0.21799999475479126,0.0
52.883,-117.822,0.1,2024-08-11,1571.0,15.829000473022461,22.642000198364258,7.791999816894531,9.0,87.5459976196289,0.0,52.25,845.1199951171875,16.972999572753906,0.061000000685453415,0.0
54.226,-118.671,0.0,2024-08-10,1208.0,16.777999877929688,25.336000442504883,8.03600025177002,8.217000007629395,176.4709930419922,0.0,61.41699981689453,881.7979736328125,15.934000015258789,0.17800000309944153,0.0
53.436,-120.443,0.2,2024-08-10,843.0,19.275999069213867,27.54599952697754,10.395999908447266,11.842000007629395,45.0,0.0,52.625,920.25,16.56100082397461,0.12800000607967377,0.0
53.7,-124.75,0.0,2024-08-11,767.0,20.2810001373291,28.28700065612793,13.937000274658203,8.350000381469727,241.3520050048828,0.0,63.20800018310547,927.3989868164062,20.06999969482422,0.11800000071525574,0.0
50.01,-120.862,0.0,2024-08-10,1018.0,18.940000534057617,25.531999588012695,12.531999588012695,20.908000946044922,297.84698486328125,0.0,48.91699981689453,902.0640258789062,20.405000686645508,0.07699999958276749,0.0
50.108,-119.53,0.0,2024-08-10,764.0,20.183000564575195,28.042999267578125,12.843000411987305,14.654000282287598,70.9739990234375,0.0,48.08300018310547,928.9219970703125,23.268999099731445,0.07000000029802322,0.0
49.789,-124.212,0.3,2024-08-11,172.0,21.052000045776367,26.184999465942383,17.334999084472656,14.51200008392334,244.94200134277344,0.0,71.70800018310547,994.7449951171875,21.97800064086914,0.06199999898672104,0.0
54.236,-118.667,0.0,2024-08-10,1202.0,16.816999435424805,25.375999450683594,8.076000213623047,8.217000007629395,176.4709930419922,0.0,61.41699981689453,882.4219970703125,15.972999572753906,0.17800000309944153,0.0
52.332,-119.227,0.0,2024-08-10,1800.0,14.977,19.231,9.781,10.8,222.129,0.0,45.958,824.45,11.075,0.135,0.0
55.771,-125.789,0.5,2024-08-10,983.0,18.464,27.004,6.654,9.45,250.404,0.0,59.0,904.76,17.442,0.093,0.0
55.881,-119.094,0.3,2024-08-10,652.0,19.684,29.724,10.174,17.874,118.079,0.0,55.333,940.043,20.226,0.16,0.0
50.483,-122.693,0.0,2024-08-10,1560.0,17.14,21.902,13.052,12.096,247.639,0.0,51.625,848.594,17.954,0.102,0.0
52.84,-119.365,0.2,2024-08-10,1095.0,19.344,26.381,11.381,9.388,205.778,0.0,37.958,894.807,18.76,0.041,0.0
51.156,-115.415,0.5,2024-08-10,1418.0,15.276,23.546,6.546,16.793,51.059,0.0,49.875,861.366,14.498,0.164,0.0
60.421,-118.876,1.0,2024-08-10,342.0,24.877,33.732,17.832,18.079,192.812,0.0,41.375,970.811,23.527,0.134,0.0
53.104,-121.722,0.0,2024-08-10,1144.0,19.301,25.788,13.588,8.209,142.125,0.0,40.792,889.092,16.697,0.067,0.0
49.165,-116.026,0.0,2024-08-10,1324.0,18.253,23.884,13.134,20.291,75.059,0.0,44.917,870.665,17.293,0.125,0.0
50.044,-121.098,0.0,2024-08-10,1288.0,16.891,23.026,11.026,14.4,121.608,0.0,53.583,873.856,15.557,0.136,0.0
52.803,-119.222,9.5,2024-08-10,807.0,21.216,28.253,13.253,9.388,205.778,0.0,37.958,925.33,20.632,0.041,0.0
49.236,-119.761,0.0,2024-08-11,1428.0,16.831,23.974,10.724,12.905,254.054,0.0,37.667,858.408,20.818,0.083,0.0
49.247,-117.875,0.2,2024-08-10,2044.0,10.858,17.018,6.618,16.874,18.628,0.0,60.625,797.693,15.332,0.074,0.0
52.876,-121.256,0.0,2024-08-10,1689.0,15.977,20.804,10.604,8.913,210.548,0.0,47.667,834.848,14.304,0.097,0.0
56.595,-122.301,0.0,2024-08-10,877.0,19.874,29.789,9.239,11.384,165.069,0.0,48.333,914.513,17.145,0.06,0.0
50.104,-120.857,0.0,2024-08-10,1042.0,18.527,25.8,12.2,12.682,240.489,0.0,51.083,899.428,20.249,0.077,0.0
50.802,-118.13,0.0,2024-08-10,1393.0,14.664,19.537,10.387,9.199,32.381,0.0,62.75,862.608,18.194,0.088,0.0
49.15,-119.081,0.0,2024-08-10,1405.0,15.893,23.189,10.439,19.576,54.749,0.0,53.375,861.513,18.001,0.099,0.0
58.873,-117.915,0.2,2024-08-10,342.0,22.258,31.932,14.232,15.717,157.537,0.0,48.667,973.305,21.282,0.218,0.0
52.883,-117.822,0.1,2024-08-11,1571.0,15.829,22.642,7.792,9.0,87.546,0.0,52.25,845.12,16.973,0.061,0.0
54.226,-118.671,0.0,2024-08-10,1208.0,16.778,25.336,8.036,8.217,176.471,0.0,61.417,881.798,15.934,0.178,0.0
53.436,-120.443,0.2,2024-08-10,843.0,19.276,27.546,10.396,11.842,45.0,0.0,52.625,920.25,16.561,0.128,0.0
53.7,-124.75,0.0,2024-08-11,767.0,20.281,28.287,13.937,8.35,241.352,0.0,63.208,927.399,20.07,0.118,0.0
50.01,-120.862,0.0,2024-08-10,1018.0,18.94,25.532,12.532,20.908,297.847,0.0,48.917,902.064,20.405,0.077,0.0
50.108,-119.53,0.0,2024-08-10,764.0,20.183,28.043,12.843,14.654,70.974,0.0,48.083,928.922,23.269,0.07,0.0
49.789,-124.212,0.3,2024-08-11,172.0,21.052,26.185,17.335,14.512,244.942,0.0,71.708,994.745,21.978,0.062,0.0
54.236,-118.667,0.0,2024-08-10,1202.0,16.817,25.376,8.076,8.217,176.471,0.0,61.417,882.422,15.973,0.178,0.0
