Latitude,Longitude,Hectares,Stage of Control,Start Date (UTC),Temperature (°C),Wind speed (kph),Wind direction,Precipitation (mm),humidity
66.142,-140.95,6896.0,OC,2024-07-15 08:22:00,19.5,12.6,WSW,0.0,33
50.424,-121.394,0.1,OC,2024-07-15 09:02:00,23.8,11.2,SSW,0.0,30
56.456,-102.951,2.0,OC,2024-07-15 06:30:48,17.3,6.8,ENE,0.0,59
58.931,-110.62,3.0,BH,2024-07-15 22:27:00,19.1,13.7,ENE,0.0,44
55.752,-105.374,0.1,OC,2024-07-15 07:22:07,17.5,7.9,ENE,0.0,47
44.432,-64.554,0.1,UC,2024-07-15 04:20:00,19.9,9.0,SW,0.04,94
57.346,-115.162,0.1,OC,2024-07-15 21:38:00,24.6,3.6,SW,0.0,56
50.898,-116.234,0.0,BH,2024-07-15 13:10:00,21.3,5.8,SW,0.0,40
62.596,-114.328,0.5,OC,2024-07-15 06:00:00,25.1,25.9,SSE,0.0,44
58.342,-119.181,0.9,UC,2024-07-15 07:45:00,29.5,6.1,WNW,0.0,35
57.194,-114.646,0.1,OC,2024-07-16 01:35:00,24.6,3.6,SW,0.0,56
56.456,-102.951,2.0,OC,2024-07-15 06:30:48,17.3,6.8,ENE,0.0,59
49.276,-121.672,1.0,BH,2024-07-15 21:32:00,25.9,9.0,SSW,0.0,54
57.543,-117.608,0.0,BH,2024-07-16 02:42:00,25.4,13.0,S,0.0,50
58.597,-118.893,0.0,UC,2024-07-16 01:25:00,29.5,6.1,WNW,0.0,35
59.168,-123.423,0.0,BH,2024-07-15 08:18:00,22.7,6.5,NNW,0.0,53
59.348,-123.395,0.0,OC,2024-07-16 04:22:00,22.7,6.5,NNW,0.0,53
50.891,-118.448,2.1,OC,2024-07-16 02:07:00,34.4,6.1,W,0.0,28
58.606,-117.12,0.0,BH,2024-07-16 03:44:00,28.0,6.1,S,0.0,42
45.864,-65.252,0.2,BH,2024-07-15 21:53:11,23.1,11.2,SSW,0.0,72
55.327,-109.629,2.0,OC,2024-07-16 01:42:11,20.2,5.4,SW,0.0,49
54.717,-128.771,0.0,OC,2024-07-16 05:05:00,16.4,7.9,SW,0.02,68
55.668,-120.365,0.5,OC,2024-07-16 03:23:00,30.3,20.2,WSW,0.0,25
59.267,-122.433,30.0,OC,2024-07-16 04:30:00,25.2,12.6,WNW,0.0,41
50.182,-120.739,0.0,BH,2024-07-16 02:46:00,22.1,11.2,SW,0.0,35
