agency,lat,lon,date,hectares,cause,response_type,biome
BC,59.963,-128.172,1953-05-26,8.0,H, ,Boreal Cordillera
BC,59.318,-132.172,1950-06-22,8.0,L, ,Boreal Cordillera
BC,59.876,-131.922,1950-06-04,12949.9,H, ,Boreal Cordillera
BC,59.76,-132.808,1951-07-15,241.1,H, ,Boreal Cordillera
BC,59.434,-126.172,1952-06-12,1.2,H, ,Boreal Cordillera
BC,59.963,-136.502,1951-08-01,194.2,H, ,Boreal Cordillera
BC,59.597,-126.728,1952-08-11,0.6,H, ,Boreal Cordillera
BC,57.463,-122.816,1950-06-14,2071.9,L, ,Taiga Plain
BC,57.126,-122.762,1950-06-13,0.1,H, ,Taiga Plain
BC,57.684,-121.925,1953-05-01,7834.7,H, ,Taiga Plain
BC,59.318,-133.228,1950-06-22,5179.9,L, ,Boreal Cordillera
BC,59.568,-133.502,1950-06-09,1.2,H, ,Boreal Cordillera
BC,59.626,-133.365,1950-06-13,194.2,H, ,Boreal Cordillera
BC,59.655,-133.672,1951-06-07,4.4,H, ,Boreal Cordillera
BC,59.713,-134.172,1951-08-07,894.7,H, ,Boreal Cordillera
BC,59.626,-133.615,1951-08-29,2.0,H, ,Boreal Cordillera
BC,59.876,-133.478,1951-09-01,550.3,H, ,Boreal Cordillera
BC,59.626,-133.422,1951-09-02,0.1,H, ,Boreal Cordillera
BC,59.097,-132.978,1952-07-07,161.8,L, ,Boreal Cordillera
BC,59.963,-133.808,1952-08-27,0.1,H, ,Boreal Cordillera
BC,58.905,-123.173,1950-06-30,0.1,L, ,Taiga Plain
BC,58.789,-122.729,1950-04-29,0.1,H, ,Taiga Plain
BC,58.818,-122.729,1950-06-18,424.9,L, ,Taiga Plain
BC,58.789,-122.729,1950-08-22,0.1,H, ,Taiga Plain
BC,58.818,-122.868,1952-05-05,8.4,H, ,Taiga Plain
BC,58.789,-122.673,1952-03-01,0.6,H, ,Taiga Plain
BC,58.818,-122.757,1952-08-02,0.1,H, ,Taiga Plain
BC,58.818,-123.562,1953-06-20,0.1,H, ,Taiga Plain
BC,56.76,-124.82,1950-06-23,113.3,H, ,Boreal Cordillera
BC,57.01,-125.121,1952-05-20,2.0,H, ,Boreal Cordillera
BC,59.318,-129.228,1952-06-01,131.5,H, ,Boreal Cordillera
BC,57.568,-131.729,1952-06-01,0.4,H, ,Pacific Maritime
BC,56.492,-130.427,1953-03-01,0.1,L, ,Pacific Maritime
BC,59.376,-126.728,1951-07-07,0.1,H, ,Boreal Cordillera
BC,58.847,-125.229,1950-05-05,841.7,H, ,Boreal Cordillera
BC,57.655,-131.621,1951-06-30,35.4,H, ,Boreal Cordillera
BC,58.713,-132.979,1951-06-15,68.7,H, ,Boreal Cordillera
BC,57.76,-131.566,1951-09-02,8.4,H, ,Boreal Cordillera
BC,57.626,-131.729,1952-06-24,2201.4,H, ,Boreal Cordillera
BC,58.434,-130.062,1950-06-22,12.1,L, ,Boreal Cordillera
BC,58.184,-130.729,1951-05-15,12949.9,H, ,Boreal Cordillera
BC,57.905,-131.066,1952-04-01,9761.0,H, ,Boreal Cordillera
BC,58.789,-131.979,1952-08-01,1.2,H, ,Boreal Cordillera
BC,57.934,-131.175,1953-07-25,0.1,H, ,Boreal Cordillera
BC,57.905,-131.175,1953-08-13,0.2,H, ,Boreal Cordillera
BC,58.492,-129.479,1951-07-06,18.2,H, ,Boreal Cordillera
BC,56.789,-122.07,1950-07-29,99767.297,H, ,Boreal PLain
BC,56.76,-121.267,1950-07-31,57.8,H, ,Boreal PLain
BC,56.713,-121.82,1950-07-29,1035.9,H, ,Boreal PLain
BC,56.789,-121.32,1950-08-26,76663.70299999998,H, ,Boreal PLain
BC,56.905,-122.017,1950-04-22,0.1,H, ,Boreal PLain
BC,56.568,-120.98,1950-05-23,256.9,H, ,Boreal PLain
BC,56.568,-120.98,1950-05-24,14.5,H, ,Boreal PLain
BC,56.568,-120.927,1950-06-01,76922.70299999998,H, ,Boreal PLain
BC,56.492,-121.124,1950-06-07,781.0,H, ,Boreal PLain
BC,56.376,-120.98,1950-06-12,1902.0,H, ,Boreal PLain
BC,56.626,-121.23,1950-06-17,0.1,H, ,Boreal PLain
BC,56.463,-121.177,1950-06-13,0.1,L, ,Boreal PLain
BC,56.789,-121.98,1952-05-01,1.2,H, ,Boreal PLain
BC,56.742,-122.374,1952-05-05,4.0,H, ,Boreal PLain
BC,56.539,-122.427,1952-05-05,21.8,H, ,Boreal PLain
BC,56.568,-121.427,1952-05-31,0.8,H, ,Boreal PLain
BC,56.347,-121.07,1952-05-28,97.1,H, ,Boreal PLain
BC,56.713,-121.82,1952-08-17,0.1,H, ,Boreal PLain
BC,56.318,-121.017,1952-10-05,4.0,H, ,Boreal PLain
BC,55.76,-123.626,1950-07-04,1294.9,L, ,Montane Cordillera
BC,56.289,-124.017,1953-05-20,404.6,H, ,Montane Cordillera
BC,55.992,-122.126,1950-09-21,1.2,H, ,Montane Cordillera
BC,55.992,-121.126,1950-06-29,242.8,L, ,Boreal PLain
BC,55.655,-120.98,1950-09-19,80.9,H, ,Boreal PLain
BC,55.818,-120.626,1950-09-20,2929.9,H, ,Boreal PLain
BC,56.039,-120.624,1950-09-20,560.4,H, ,Boreal PLain
BC,55.992,-121.126,1950-09-17,36.4,H, ,Boreal PLain
BC,55.992,-120.428,1950-09-20,48.5,H, ,Boreal PLain
BC,55.963,-120.73,1950-09-20,23067.1,H, ,Boreal PLain
BC,56.068,-120.48,1950-09-20,3366.9,H, ,Boreal PLain
BC,56.318,-120.73,1950-09-22,1968.3,H, ,Boreal PLain
BC,56.434,-120.48,1950-09-21,7510.899999999999,H, ,Boreal PLain
BC,55.655,-121.678,1950-05-09,643.4,H, ,Boreal PLain
BC,55.655,-120.98,1950-06-01,647.4,H, ,Boreal PLain
BC,55.934,-121.376,1950-06-02,2428.1,H, ,Boreal PLain
BC,55.876,-121.428,1950-06-02,161.8,H, ,Boreal PLain
BC,55.905,-120.678,1950-06-11,101.1,H, ,Boreal PLain
BC,55.992,-120.376,1950-06-19,323.7,H, ,Boreal PLain
BC,55.992,-121.928,1951-05-20,97.1,H, ,Boreal PLain
BC,55.713,-121.178,1952-05-01,101.1,H, ,Boreal PLain
BC,55.713,-120.825,1952-05-02,42.4,H, ,Boreal PLain
BC,55.818,-121.428,1952-04-29,449.2,H, ,Boreal PLain
BC,55.905,-121.928,1952-05-06,178.0,H, ,Boreal PLain
BC,55.742,-121.575,1952-05-08,874.1,H, ,Boreal PLain
BC,55.713,-121.178,1952-05-09,76.79999999999998,H, ,Boreal PLain
BC,55.76,-121.023,1952-05-09,80.9,H, ,Boreal PLain
BC,55.76,-121.376,1952-05-14,53.8,H, ,Boreal PLain
BC,55.742,-121.626,1952-05-13,47.7,H, ,Boreal PLain
BC,55.713,-121.23,1952-05-15,55.4,H, ,Boreal PLain
BC,55.963,-120.678,1952-05-25,0.1,H, ,Boreal PLain
BC,56.26,-120.017,1952-05-23,781.0,H, ,Boreal PLain
BC,55.905,-120.876,1952-05-27,54.6,H, ,Boreal PLain
BC,55.905,-121.273,1952-05-25,550.3,H, ,Boreal PLain
BC,55.713,-120.98,1952-10-15,1.2,H, ,Boreal PLain
BC,56.434,-120.73,1952-10-22,1.2,H, ,Boreal PLain
BC,55.789,-121.325,1953-05-06,14.1,H, ,Boreal PLain
BC,56.068,-121.07,1953-05-05,1214.0,H, ,Boreal PLain
BC,56.039,-121.07,1953-05-27,226.6,L, ,Boreal PLain
BC,55.818,-123.73,1950-06-28,250.9,L, ,Montane Cordillera
BC,56.01,-123.82,1950-08-02,0.1,L, ,Montane Cordillera
BC,55.934,-123.928,1950-08-06,186.1,L, ,Montane Cordillera
BC,56.539,-124.57,1951-06-01,0.1,H, ,Montane Cordillera
BC,55.963,-125.98,1952-05-31,0.1,H, ,Montane Cordillera
BC,56.539,-124.624,1952-05-15,222.5,H, ,Montane Cordillera
BC,55.905,-125.73,1952-08-01,627.2,L, ,Montane Cordillera
BC,55.347,-127.678,1950-04-20,2.0,H, ,Pacific Maritime
BC,55.347,-127.73,1950-06-18,0.1,H, ,Pacific Maritime
BC,55.347,-127.73,1950-09-30,0.1,H, ,Pacific Maritime
BC,55.376,-127.678,1951-04-21,22.6,H, ,Pacific Maritime
BC,55.434,-127.73,1951-04-22,14.1,H, ,Pacific Maritime
BC,55.626,-127.98,1951-07-14,0.1,L, ,Pacific Maritime
BC,55.463,-127.678,1951-08-28,0.1,H, ,Pacific Maritime
BC,55.289,-129.075,1952-06-07,0.8,H, ,Pacific Maritime
BC,55.376,-128.928,1952-07-22,12.1,L, ,Pacific Maritime
BC,55.51,-127.73,1952-07-23,0.1,L, ,Pacific Maritime
BC,55.376,-127.678,1952-05-27,0.1,H, ,Pacific Maritime
BC,55.26,-127.575,1952-07-01,0.1,H, ,Pacific Maritime
BC,55.26,-127.575,1953-04-17,13.1,H, ,Pacific Maritime
BC,55.742,-127.73,1950-08-14,0.1,H, ,Montane Cordillera
