lat,lon,date,hectares,elevation
56.7136,-110.449,1999-11-12,0.2,347.0
54.7522,-114.9147,1999-11-14,0.3,827.0
53.6615,-102.1771,1999-11-17,0.3,264.0
51.0722,-115.3002,1999-11-18,0.5,1333.0
51.0668,-115.1288,1999-11-18,0.25,1283.0
55.063,-117.8106,1999-11-21,0.01,675.0
54.5306,-119.7127,1999-11-24,0.01,1022.0
55.3596,-117.4369,1999-11-30,2.5,680.0
54.6942,-119.0073,1999-12-02,0.02,961.0
49.5213,-115.7363,1999-12-13,0.009,960.0
54.7976,-115.3834,1999-12-13,0.01,1004.0
54.7517,-111.5897,1999-12-14,0.4,653.0
55.3822,-113.4868,1999-12-16,0.2,646.0
55.2888,-116.9335,1999-12-19,0.5,625.0
54.1811,-117.2749,1999-12-19,0.5,1084.0
56.9846,-115.8993,1999-12-26,0.1,754.0
52.3708,-121.9477,1999-12-28,0.009,916.0
49.9071,-115.8152,2000-01-01,1.0,937.0
45.9836,-78.321,2000-01-01,0.10000000149,280.0
53.4954,-117.2163,2000-01-05,3.0,1302.0
54.7547,-113.785,2000-01-06,0.01,677.0
55.1012,-117.4136,2000-01-11,0.01,705.0
49.3467,-119.5167,2000-01-11,1.0,516.0
51.0995,-114.9252,2000-01-13,0.7,1327.0
52.1277,-124.0237,2000-01-16,0.1,986.0
55.8734,-113.4601,2000-01-17,0.1,570.0
55.2735,-113.2392,2000-01-19,0.01,608.0
48.8338,-94.2331,2000-01-20,60.0,347.0
50.905,-126.9292,2000-01-20,6.0,81.0
58.0608,-115.6093,2000-01-21,0.01,299.0
58.0536,-115.6093,2000-01-22,1026.9,297.0
49.5375,-119.6248,2000-01-23,0.3,343.0
49.0792,-119.5333,2000-01-23,7.0,279.0
55.9954,-115.5605,2000-01-24,0.1,674.0
50.5885,-105.4063,2000-01-25,4.1,536.0
55.8971,-110.4746,2000-01-31,0.2,466.0
53.5401,-116.9905,2000-02-02,0.5,1037.0
54.7766,-111.581,2000-02-02,0.01,628.0
55.9007,-113.8874,2000-02-02,2.7,558.0
53.9301,-118.9591,2000-02-04,0.6,1088.0
53.7682,-116.2147,2000-02-04,0.3,875.0
43.951521,-64.763463,2000-02-04,0.2,8.0
49.8037,-115.7558,2000-02-05,10.0,773.0
44.075926,-64.567337,2000-02-05,0.7,14.0
49.5167,-119.6667,2000-02-05,2.0,990.0
49.6943,-115.6875,2000-02-05,30.0,774.0
53.7646,-116.2147,2000-02-05,0.1,878.0
50.5052,-106.2813,2000-02-06,3.0,608.0
53.7033,-122.2093,2000-02-06,0.1,820.0
43.463366,-65.577425,2000-02-06,1.0,4.0
55.287,-117.3856,2000-02-06,0.05,745.0
52.0933,-123.39,2000-02-06,5.0,913.0
55.5159,-116.1669,2000-02-07,3.93,576.0
55.2542,-116.5839,2000-02-07,3.0,679.0
49.6375,-119.6083,2000-02-07,0.75,583.0
52.1167,-124.0667,2000-02-08,1.0,921.0
51.1723,-114.8439,2000-02-08,0.3,1193.0
51.1759,-114.8729,2000-02-08,3.0,1278.0
52.3393,-114.9874,2000-02-08,0.01,1006.0
49.5633,-119.6458,2000-02-08,2.0,437.0
50.7165,-121.3017,2000-02-09,1.0,441.0
55.5342,-120.7227,2000-02-09,2.0,896.0
50.795,-120.3483,2000-02-09,0.8,595.0
54.4115,-108.5729,2000-02-09,1.0,472.0
54.8214,-118.5835,2000-02-09,4.0,614.0
55.3193,-115.6356,2000-02-09,17.3,581.0
53.6083,-115.5831,2000-02-09,0.8,835.0
55.2469,-117.3406,2000-02-09,15.0,716.0
55.0676,-111.5045,2000-02-09,0.2,602.0
51.1286,-115.1113,2000-02-10,0.1,1809.0
53.75,-116.1838,2000-02-10,0.5,878.0
50.6007,-121.2959,2000-02-10,0.0,411.0
52.7523,-115.3127,2000-02-10,3.0,1066.0
50.7386,-119.6558,2000-02-11,2.0,670.0
50.15,-120.8619,2000-02-11,3.5,595.0
54.2121,-115.972,2000-02-11,1.5,785.0
53.0412,-115.9597,2000-02-11,0.1,1229.0
45.50283,-65.19717,2000-02-11,1.4,87.0
49.5378,-119.537,2000-02-11,0.2,764.0
49.3708,-119.6917,2000-02-11,1.0,755.0
49.606,-115.6208,2000-02-11,0.1,771.0
54.0938,-115.7628,2000-02-12,10.0,821.0
52.0002,-123.1522,2000-02-12,4.0,733.0
49.4485,-119.6133,2000-02-12,0.1,366.0
49.4703,-119.6098,2000-02-12,0.5,365.0
56.7597,-118.3249,2000-02-12,1.0,750.0
49.4308,-119.6108,2000-02-13,0.2,370.0
50.7192,-121.1823,2000-02-13,0.7,940.0
49.483,-120.4783,2000-02-13,0.1,682.0
52.1583,-122.2,2000-02-13,0.009,504.0
49.4774,-119.6276,2000-02-14,2.0,383.0
49.3083,-124.836,2000-02-14,0.5,127.0
46.3269,-83.1474,2000-02-15,0.20000000298,244.0
49.6109,-119.7822,2000-02-15,0.1,681.0
50.1339,-121.0481,2000-02-15,0.3,711.0
53.2865,-105.9271,2000-02-15,0.01,440.0
51.95,-122.5,2000-02-16,20.0,888.0
51.9896,-123.1498,2000-02-16,0.009,726.0
52.005,-123.1547,2000-02-17,2.0,738.0
55.312,-115.5973,2000-02-17,21.3,598.0
51.8667,-121.6675,2000-02-17,0.2,840.0
50.1028,-120.8087,2000-02-17,0.01,614.0
52.0133,-123.15,2000-02-17,1.0,813.0
54.6192,-126.8542,2000-02-17,0.01,557.0
50.8241,-121.3816,2000-02-18,10.0,694.0
50.6908,-120.3378,2000-02-18,1.5,346.0
54.1922,-125.5173,2000-02-18,6.0,730.0
49.1686,-115.0676,2000-02-18,0.2,1804.0
52.015,-121.9767,2000-02-18,5.0,964.0
49.1492,-119.3995,2000-02-19,1.0,1105.0
54.5479,-126.7851,2000-02-19,2.5,699.0
54.0333,-120.1933,2000-02-19,0.01,2090.0
52.07,-122.1783,2000-02-19,2.0,697.0
52.9667,-123.5333,2000-02-19,0.2,956.0
50.5765,-120.32,2000-02-19,0.1,1002.0
51.9133,-121.9767,2000-02-19,0.1,886.0
51.0922,-115.0182,2000-02-19,4.2,1300.0
51.9877,-123.1517,2000-02-20,1.0,722.0
52.0117,-123.16,2000-02-20,1.0,750.0
56.2727,-119.2703,2000-02-20,0.25,441.0
52.2667,-122.1,2000-02-20,20.0,720.0
53.9531,-102.2396,2000-02-20,19.5,268.0
54.0097,-124.869,2000-02-21,11.0,886.0
51.6433,-121.28,2000-02-21,0.2,941.0
52.0738,-123.2518,2000-02-21,0.1,747.0
52.0078,-123.1417,2000-02-21,0.3,809.0
53.9834,-125.6827,2000-02-21,6.5,893.0
52.6941,-115.3488,2000-02-21,0.01,996.0
52.0133,-123.165,2000-02-21,0.009,714.0
53.9323,-102.4271,2000-02-21,1.0,278.0
52.035,-123.1917,2000-02-21,1.5,769.0
50.0244,-120.8669,2000-02-21,3.8,702.0
51.98,-123.215,2000-02-22,9.0,793.0
52.1276,-124.0569,2000-02-22,7.1,919.0
50.8575,-120.6647,2000-02-22,0.2,823.0
52.2827,-121.464,2000-02-22,0.009,926.0
49.1333,-118.5833,2000-02-22,1.0,955.0
54.3984,-126.7192,2000-02-22,0.2,581.0
54.6603,-110.7358,2000-02-22,0.3,644.0
51.4217,-124.1217,2000-02-22,0.1,1229.0
56.03,-115.4203,2000-02-23,0.3,659.0
55.0443,-127.3392,2000-02-24,0.01,432.0
45.643462,-62.634278,2000-02-24,0.4,10.0
55.35,-127.6833,2000-02-24,2.0,253.0
44.010588,-64.727788,2000-02-24,0.1,56.0
55.5087,-116.1541,2000-02-24,4.0,576.0
51.8167,-120.0333,2000-02-25,0.1,670.0
50.7329,-120.6688,2000-02-25,2.0,340.0
55.3921,-115.7382,2000-02-25,130.5,585.0
53.3333,-120.2167,2000-02-25,1.0,719.0
45.23997,-67.20982,2000-02-25,2.0,83.0
54.5365,-108.4479,2000-02-25,25.0,470.0
54.228,-125.7217,2000-02-25,0.01,813.0
56.2197,-121.9461,2000-02-25,7.0,785.0
45.58513,-66.81536,2000-02-25,2.0,129.0
51.0917,-121.5,2000-02-26,3.0,972.0
55.6172,-121.8506,2000-02-27,0.3,599.0
51.55,-120.9833,2000-02-27,0.1,1121.0
52.0098,-123.1618,2000-02-27,0.1,715.0
51.4117,-124.0617,2000-02-27,3.0,1191.0
49.05,-123.8833,2000-02-27,0.1,39.0
43.549869,-65.729658,2000-02-27,0.01,27.0
52.0167,-122.5833,2000-02-27,45.0,1009.0
55.0942,-127.8152,2000-02-27,1.5,218.0
54.0556,-125.7817,2000-02-27,1.7,739.0
54.4635,-109.5521,2000-02-27,20.0,526.0
52.425,-121.6833,2000-02-27,2.5,932.0
52.0303,-122.6295,2000-02-27,45.0,1032.0
