agency,date,hectares,cause,lat,lon,response_type,altitude
AB,2023-08-14,0.01,H,51.0748,-115.08,FUL,1323.0
AB,2023-04-10,0.0,H,51.165,-114.853,FUL,1236.0
AB,2023-04-24,0.7,H,51.139,-114.907,FUL,1258.0
AB,2023-05-01,0.7,H,51.222,-114.85,FUL,1404.0
AB,2023-05-05,0.8,H,51.228,-114.857,FUL,1444.0
AB,2023-05-06,0.7,H,51.592,-114.758,FUL,1385.0
AB,2023-05-12,0.0,H,50.901,-114.688,FUL,1391.0
AB,2023-05-13,0.0,H,50.901,-114.689,FUL,1392.0
AB,2023-05-14,0.0,H,50.866,-114.752,FUL,1463.0
AB,2023-05-14,0.0,H,50.866,-114.754,FUL,1467.0
AB,2023-05-14,0.0,H,50.866,-114.752,FUL,1463.0
AB,2023-05-14,0.0,H,50.834,-114.692,FUL,1529.0
AB,2023-05-14,0.0,H,50.901,-114.691,FUL,1396.0
AB,2023-05-14,0.0,H,50.834,-114.691,FUL,1528.0
AB,2023-05-15,0.0,H,51.169,-114.857,FUL,1198.0
AB,2023-05-16,0.1,H,51.259,-114.928,FUL,1363.0
AB,2023-05-20,0.0,H,51.223,-114.853,FUL,1427.0
AB,2023-05-22,0.1,N,51.051,-114.703,FUL,1343.0
AB,2023-05-23,0.0,H,51.127,-115.39,FUL,1336.0
AB,2023-05-24,0.0,H,51.266,-114.967,FUL,1357.0
AB,2023-06-04,0.0,H,50.965,-115.092,FUL,1489.0
AB,2023-06-03,0.0,H,51.279,-115.148,FUL,1531.0
AB,2023-06-10,0.0,H,51.576,-114.962,FUL,1376.0
AB,2023-06-20,0.0,N,50.64,-114.469,FUL,1425.0
AB,2023-06-30,0.0,H,51.271,-115.001,FUL,1448.0
AB,2023-07-01,0.0,H,49.841,-113.97,FUL,1497.0
AB,2023-07-02,0.0,H,51.573,-114.993,FUL,1375.0
AB,2023-07-03,0.0,H,51.476,-115.131,FUL,1554.0
AB,2023-07-03,0.0,H,51.583,-114.997,FUL,1398.0
AB,2023-07-03,0.0,H,51.413,-115.086,FUL,1569.0
AB,2023-07-03,0.0,H,51.288,-115.126,FUL,1592.0
AB,2023-07-03,0.0,H,51.279,-115.076,FUL,1598.0
AB,2023-07-03,0.0,H,51.271,-115.048,FUL,1544.0
AB,2023-07-03,0.0,H,51.279,-115.006,FUL,1460.0
AB,2023-07-09,0.1,N,49.481,-114.453,FUL,1778.0
AB,2023-07-14,0.0,N,49.786,-113.969,FUL,1584.0
AB,2023-07-17,0.2,N,49.534,-114.497,FUL,1827.0
AB,2023-07-21,0.0,N,51.156,-114.784,FUL,1315.0
AB,2023-07-22,0.0,H,51.573,-114.987,FUL,1377.0
AB,2023-07-22,0.0,H,51.632,-115.099,FUL,1350.0
AB,2023-07-22,0.0,H,51.55,-115.205,FUL,1518.0
AB,2023-07-26,0.5,N,51.234,-114.871,FUL,1426.0
AB,2023-07-27,0.0,H,51.271,-115.01,FUL,1461.0
AB,2023-07-27,0.0,H,51.271,-115.008,FUL,1457.0
AB,2023-07-30,0.0,H,49.949,-114.443,FUL,1530.0
AB,2023-07-31,0.2,N,50.844,-114.573,FUL,1543.0
AB,2023-07-31,0.2,H,51.154,-114.892,FUL,1199.0
AB,2023-08-02,0.0,H,51.169,-114.859,FUL,1201.0
AB,2023-08-02,0.0,H,51.573,-114.987,FUL,1377.0
AB,2023-08-05,0.0,H,51.272,-114.988,FUL,1436.0
AB,2023-08-06,0.0,H,50.853,-114.615,FUL,1430.0
AB,2023-08-06,0.0,H,51.615,-115.148,FUL,1389.0
AB,2023-08-06,0.0,H,51.391,-115.106,FUL,1581.0
AB,2023-08-06,0.0,H,51.392,-115.102,FUL,1575.0
AB,2023-08-06,0.0,H,50.811,-114.626,FUL,1442.0
AB,2023-08-06,0.0,H,51.405,-115.052,FUL,1517.0
AB,2023-08-06,0.0,H,51.269,-115.02,FUL,1456.0
AB,2023-08-06,0.0,H,51.279,-115.072,FUL,1593.0
AB,2023-08-07,0.0,H,51.55,-115.204,FUL,1508.0
AB,2023-08-07,0.0,H,50.971,-115.333,FUL,1722.0
AB,2023-08-07,0.0,H,50.854,-114.843,FUL,1931.0
AB,2023-08-07,0.0,H,50.812,-114.641,FUL,1480.0
AB,2023-08-08,0.1,H,51.164,-114.786,FUL,1255.0
AB,2023-08-08,0.0,N,51.056,-114.965,FUL,1771.0
AB,2023-08-14,0.0,H,50.901,-114.693,FUL,1401.0
AB,2023-08-14,0.0,N,51.136,-114.901,FUL,1282.0
AB,2023-08-14,0.0,H,51.075,-115.08,FUL,1323.0
AB,2023-08-16,0.0,H,49.941,-114.077,FUL,1688.0
AB,2023-08-20,0.2,N,50.865,-114.809,FUL,1620.0
AB,2023-08-21,0.0,H,50.373,-114.814,FUL,2140.0
AB,2023-08-28,0.0,H,50.551,-114.543,FUL,1525.0
AB,2023-09-02,0.0,H,51.393,-115.093,FUL,1564.0
AB,2023-09-03,0.0,H,50.813,-114.633,FUL,1455.0
AB,2023-09-04,0.0,H,50.025,-114.048,FUL,1326.0
AB,2023-09-04,0.0,H,51.269,-114.99,FUL,1375.0
AB,2023-09-04,0.0,H,51.269,-115.005,FUL,1398.0
AB,2023-09-04,0.0,H,51.272,-115.009,FUL,1466.0
AB,2023-09-04,0.0,H,51.269,-115.006,FUL,1399.0
AB,2023-09-24,0.0,H,51.156,-114.859,FUL,1248.0
AB,2023-09-27,0.1,H,50.905,-114.659,FUL,1405.0
AB,2023-09-28,0.1,H,51.129,-114.864,FUL,1292.0
AB,2023-10-01,0.0,H,50.901,-114.689,FUL,1392.0
AB,2023-10-02,0.0,N,50.772,-114.593,FUL,1426.0
AB,2023-10-08,0.3,H,51.305,-114.984,FUL,1654.0
AB,2023-10-09,0.0,H,49.701,-114.467,FUL,1670.0
AB,2023-10-15,0.0,N,49.428,-114.443,FUL,1415.0
AB,2023-10-22,0.0,H,51.284,-114.861,FUL,1314.0
AB,2023-11-11,0.0,H,49.878,-114.324,FUL,1381.0
AB,2023-12-04,0.0,H,50.759,-114.549,FUL,1396.0
AB,2023-12-05,0.4,H,51.166,-114.802,FUL,1242.0
AB,2023-12-15,0.0,H,51.133,-114.868,FUL,1271.0
AB,2023-01-11,0.1,H,53.216,-115.755,FUL,981.0
AB,2023-02-13,1.3,H,53.207,-116.817,FUL,1226.0
AB,2023-02-13,0.3,H,53.475,-115.542,FUL,903.0
AB,2023-03-10,0.0,H,53.586,-116.37,FUL,897.0
AB,2023-04-10,0.0,H,53.703,-115.158,FUL,805.0
AB,2023-04-10,0.0,H,53.582,-116.214,FUL,894.0
AB,2023-04-14,0.0,H,53.934,-115.909,FUL,860.0
AB,2023-04-15,0.1,H,53.169,-115.457,FUL,923.0
AB,2023-04-17,0.5,H,53.655,-115.862,FUL,850.0
AB,2023-04-17,0.4,H,53.652,-116.598,FUL,994.0
AB,2023-04-18,1.0,H,53.462,-117.446,FUL,1064.0
AB,2023-04-22,0.3,H,53.585,-115.034,FUL,781.0
AB,2023-04-22,0.0,H,53.884,-119.107,FUL,1227.0
AB,2023-04-27,0.8,H,53.157,-116.952,FUL,1326.0
AB,2023-04-29,46.6,U,53.683,-115.948,FUL,836.0
AB,2023-04-29,0.0,H,53.626,-115.99,FUL,869.0
AB,2023-04-30,0.3,H,53.164,-116.985,FUL,1234.0
AB,2023-04-30,0.0,H,53.571,-116.737,FUL,973.0
AB,2023-04-30,0.0,H,53.632,-116.295,FUL,876.0
AB,2023-04-30,0.1,H,53.164,-116.985,FUL,1234.0
AB,2023-04-30,8.7,H,53.551,-116.803,FUL,964.0
AB,2023-05-01,0.0,H,53.657,-116.157,FUL,873.0
AB,2023-05-01,0.0,H,53.58,-115.969,FUL,914.0
AB,2023-05-02,0.7,H,53.531,-116.821,FUL,979.0
AB,2023-05-02,1.8,H,53.479,-115.223,FUL,868.0
AB,2023-05-03,2.5,H,53.743,-115.856,FUL,826.0
AB,2023-05-03,0.0,N,53.341,-117.133,FUL,1192.0
AB,2023-05-04,0.1,H,53.714,-115.817,FUL,839.0
AB,2023-05-04,0.2,N,53.169,-115.648,FUL,1011.0
AB,2023-05-04,0.2,H,53.376,-116.843,FUL,1010.0
AB,2023-05-04,201913.0,N,53.145,-115.687,FUL,952.0
AB,2023-05-04,0.1,H,53.598,-116.358,FUL,892.0
AB,2023-05-05,0.0,N,53.923,-119.132,FUL,1743.0
AB,2023-05-15,0.0,N,53.63,-115.836,FUL,861.0
AB,2023-05-05,19672.0,U,53.837,-115.783,FUL,852.0
AB,2023-05-05,0.0,H,53.283,-117.322,FUL,1306.0
AB,2023-05-06,578.0,N,53.91,-117.559,FUL,1104.0
AB,2023-05-06,1.2,U,53.692,-116.081,FUL,823.0
AB,2023-05-06,165.0,H,53.471,-115.871,FUL,959.0
AB,2023-05-06,12073.4,N,53.936,-117.776,FUL,1152.0
AB,2023-05-06,2.5,N,53.931,-117.781,FUL,1134.0
AB,2023-05-06,4.0,N,53.93,-117.792,FUL,1115.0
AB,2023-05-06,4.0,N,53.922,-117.655,FUL,1231.0
AB,2023-05-06,0.0,H,53.507,-117.316,FUL,1158.0
AB,2023-05-07,0.0,H,53.656,-116.571,FUL,1051.0
AB,2023-05-17,0.0,H,53.598,-115.38,FUL,822.0
AB,2023-05-17,0.0,H,53.319,-117.852,FUL,996.0
AB,2023-05-18,0.1,H,53.249,-115.504,FUL,928.0
AB,2023-05-21,1.9,N,53.625,-116.352,FUL,886.0
AB,2023-05-27,1.1,N,53.407,-115.484,FUL,928.0
