X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-80.5453206550684,43.4719565571643,"1584710927",node,21.875,pharmacy,pharmacy,Student Health Pharmacy,,local_knowledge,,,,,,,,,yes,yes,,,,,,,,,,,,114231178,5,2021/11/25 16:53:18+00,68439bd144c341adb31096550e78ec0f
,,"399716636",way,15.625,hospital,hospital,Cold Lake Healthcare Centre,,,,,,,,,,,,,yes,,,,,,,,,,,132701230,3,2023/02/18 02:47:41+00,2feaf6cd597b4e46afd3361f23ab041c
-75.5672190092304,45.4309938261602,"1586466719",node,12.5,pharmacy,pharmacy,PharmaChoice,,,,,,,,,,,,,,,,,,,,,,,,73002233,3,2019/08/05 01:59:48+00,7e15290002fc41eebe4dcbbdc6d1f497
,,"399832436",way,21.875,pharmacy,,Pharmacie Jean Coutu,,Bing,,,,,,,,,,,,,,,,,,"72",1re Avenue Ouest,,Amos,37676999,3,2016/03/07 23:48:18+00,fc72585949fb4ac899af77c3dbe591ae
,,"400408552",way,12.5,hospital,,Centre Hospitalier Hôtel-Dieu d'Amos,,Bing,,,,,,,,,,,,,,,,,,,,,,38154922,2,2016/03/29 23:33:30+00,2b4cb60d3193430d81d2d08dcd8858b0
,,"400574745",way,15.625,clinic,,Centre Normand,,Bing,,,,,,,,,,,,,,,,,,,,,Amos,38154922,2,2016/03/29 23:33:30+00,a1f5e71d4eaa46bbb83c81656d518dd4
,,"401032404",way,9.375,clinic,,Maison De Soins Palliatifs Rouyn-Noranda Inc,,,,,,,,,,,,,,,,,,,,,,,,46005809,2,2017/02/11 19:49:55+00,22867c48b19742eb8f1a96fbf8fb5a6f
,,"401401333",way,25,pharmacy,pharmacy,Shoppers Drug Mart,,,,,,24/7,,,,,,,,,,,,,,"6565",Lundys Lane,,Niagara Falls,109432807,6,2021/08/10 00:48:21+00,d7f273d6f4ec4c1fbbd2afc9512bcc99
-73.4549810020664,45.5173886167406,"1597758934",node,9.375,hospital,,Clinique Medicale,,,,,,,,,,,,,,,,,,,,,,,,10438550,1,2012/01/19 15:50:13+00,d02a4dc0d5174a45aff03de1c4601f01
-79.3898030505941,43.6709719398885,"1599246348",node,12.5,pharmacy,pharmacy,Markie Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,140952474,5,2023/09/07 18:11:48+00,f47f8c9799174a8ca8069f9a4453afe5
,,"42504921",way,18.75,hospital,hospital,Forensic Psychiatric Hospital,,,psychiatry,,,,,,,,,,no,,,,,,,,,,,128830360,9,2022/11/12 23:27:58+00,33879be3915648859e079d02500cf9b8
-72.8126135681584,46.0706188689879,"1604262037",node,15.625,doctors,alternative,Durand Chiropratique,,,chiropractic,,,,,,,,,,,,,,,,,,,,,119905004,2,2022/04/19 12:25:27+00,e55d94eb9327444eb41f4f4ba19ad3b8
,,"402957439",way,21.875,,blood_donation,Canadian Blood Services,,,,,,,,,,,,,,,,,,,,"270",John Savage Avenue,B3B 0H7,Dartmouth,49716680,3,2017/06/21 10:35:30+00,0fb5475b3fd54d36bb415eb7ccbd1a73
,,"42528598",way,12.5,clinic,,Santé Courville de Waterloo,,CanVec_Import_2009,,,,,,,,,,,,,,,,,,,,,,136794183,3,2023/05/31 15:09:34+00,0f28af59505a457d81dbb08e739e1a37
,,"403075433",way,25,pharmacy,,Pharmacie Proximed,"Pharmacie Jean-Jacques Trépanier, Sylvie Laliberté et Martine Gravel Inc.",Bing,,,,,,,,,,,,,,,,,,"41",1re Avenue Ouest,,Amos,37757932,1,2016/03/11 12:06:33+00,9701517c21a94dd08bdedeec2397fd58
-71.3553961482951,46.8349324328725,"1608109490",node,15.625,pharmacy,pharmacy,Pharmaprix,,local_knowledge,,,,,,,,,,,,,,,,,,,,,,74817170,6,2019/09/23 16:03:47+00,f9a8cd70a5c54ad3b247e70e5500f8ce
-71.3564533577423,46.8356938449568,"1608113909",node,12.5,pharmacy,pharmacy,Proxim,,,,,,,,,,,,,,,,,,,,,,,,109369815,4,2021/08/09 01:45:31+00,5b2da3cc12f84d4b9b1c775b2c813a15
-71.3569899671835,46.837519591106,"1608125686",node,9.375,pharmacy,,Brunet,,,,,,,,,,,,,,,,,,,,,,,,69893385,2,2019/05/05 03:06:22+00,9010b8607cb14cb18e2da30af93b556e
,,"403664063",way,21.875,clinic,,Grey Bruce Health Unit,,,,,,,,,,,,,,,,,,,,"101",17th Street East,N4K 0A5,Owen Sound,131751187,4,2023/01/26 22:52:08+00,847e3cbf9a8e49189185db1e051c5790
,,"403856148",way,25,dentist,dentist,Cornwall Dental Clinic,,,general,,,,,,,,,,,,,,,,,"11",Church Street,,Cornwall,125313434,4,2022/08/24 12:15:18+00,fd208984e20b4aa5853120605270dc11
,,"403998557",way,12.5,pharmacy,pharmacy,Shoppers Drug Mart,,,,,,,,,,,,,,,,,,,,,,,,82229181,4,2020/03/15 22:14:44+00,e7228f019b784a0ebec81b8092533ded
-79.2372859404488,42.98480637969,"1613438193",node,21.875,pharmacy,pharmacy,Remedy'sRx,,,,,,,,,,,,,,,,,,,,"390",Lincoln Street,,Welland,72726346,3,2019/07/27 22:35:41+00,6698195630574d7185adb80547377b33
-73.5803392371869,45.5172526622711,"1613756983",node,18.75,pharmacy,,Pharmacie Louise Dadashzadeh,,,,,,,,,,,yes,,,,,,,,,"13",Rue Rachel Ouest,,,133634173,3,2023/03/13 17:10:35+00,a58ea440ae7d4508907c75a952277adb
-79.2519850325871,43.1722522214638,"1614443872",node,21.875,pharmacy,pharmacy,Shoppers Drug Mart,,,,,,Mo-Su 09:00-22:00,,,,,yes,yes,,,,,,,,,,,,103852937,5,2021/04/29 14:51:53+00,34dda86304de46328e44ff6044749b82
