agency,lat,lon,date,hectares,cause,response_type,biome,elevation
BC,59.963,-128.172,1953-05-26,8.0,H, ,Boreal Cordillera,690.0
BC,59.318,-132.172,1950-06-22,8.0,L, ,Boreal Cordillera,834.0
BC,59.876,-131.922,1950-06-04,12949.9,H, ,Boreal Cordillera,852.0
BC,59.76,-132.808,1951-07-15,241.1,H, ,Boreal Cordillera,957.0
BC,59.434,-126.172,1952-06-12,1.2,H, ,Boreal Cordillera,429.0
BC,59.963,-136.502,1951-08-01,194.2,H, ,Boreal Cordillera,1150.0
BC,59.597,-126.728,1952-08-11,0.6,H, ,Boreal Cordillera,437.0
BC,57.463,-122.816,1950-06-14,2071.9,L, ,Taiga Plain,1100.0
BC,57.126,-122.762,1950-06-13,0.1,H, ,Taiga Plain,1201.0
BC,57.684,-121.925,1953-05-01,7834.7,H, ,Taiga Plain,810.0
BC,59.318,-133.228,1950-06-22,5179.9,L, ,Boreal Cordillera,1316.0
BC,59.568,-133.502,1950-06-09,1.2,H, ,Boreal Cordillera,1295.0
BC,59.626,-133.365,1950-06-13,194.2,H, ,Boreal Cordillera,1053.0
BC,59.655,-133.672,1951-06-07,4.4,H, ,Boreal Cordillera,779.0
BC,59.713,-134.172,1951-08-07,894.7,H, ,Boreal Cordillera,710.0
BC,59.626,-133.615,1951-08-29,2.0,H, ,Boreal Cordillera,1137.0
BC,59.876,-133.478,1951-09-01,550.3,H, ,Boreal Cordillera,957.0
BC,59.626,-133.422,1951-09-02,0.1,H, ,Boreal Cordillera,914.0
BC,59.097,-132.978,1952-07-07,161.8,L, ,Boreal Cordillera,759.0
BC,59.963,-133.808,1952-08-27,0.1,H, ,Boreal Cordillera,668.0
BC,58.905,-123.173,1950-06-30,0.1,L, ,Taiga Plain,508.0
BC,58.789,-122.729,1950-04-29,0.1,H, ,Taiga Plain,394.0
BC,58.818,-122.729,1950-06-18,424.9,L, ,Taiga Plain,443.0
BC,58.789,-122.729,1950-08-22,0.1,H, ,Taiga Plain,394.0
BC,58.818,-122.868,1952-05-05,8.4,H, ,Taiga Plain,395.0
BC,58.789,-122.673,1952-03-01,0.6,H, ,Taiga Plain,322.0
BC,58.818,-122.757,1952-08-02,0.1,H, ,Taiga Plain,433.0
BC,58.818,-123.562,1953-06-20,0.1,H, ,Taiga Plain,415.0
BC,56.76,-124.82,1950-06-23,113.3,H, ,Boreal Cordillera,672.0
BC,57.01,-125.121,1952-05-20,2.0,H, ,Boreal Cordillera,687.0
BC,59.318,-129.228,1952-06-01,131.5,H, ,Boreal Cordillera,1005.0
BC,57.568,-131.729,1952-06-01,0.4,H, ,Pacific Maritime,100.0
BC,56.492,-130.427,1953-03-01,0.1,L, ,Pacific Maritime,619.0
BC,59.376,-126.728,1951-07-07,0.1,H, ,Boreal Cordillera,959.0
BC,58.847,-125.229,1950-05-05,841.7,H, ,Boreal Cordillera,709.0
BC,57.655,-131.621,1951-06-30,35.4,H, ,Boreal Cordillera,116.0
BC,58.713,-132.979,1951-06-15,68.7,H, ,Boreal Cordillera,761.0
BC,57.76,-131.566,1951-09-02,8.4,H, ,Boreal Cordillera,560.0
BC,57.626,-131.729,1952-06-24,2201.4,H, ,Boreal Cordillera,978.0
BC,58.434,-130.062,1950-06-22,12.1,L, ,Boreal Cordillera,1112.0
BC,58.184,-130.729,1951-05-15,12949.9,H, ,Boreal Cordillera,526.0
BC,57.905,-131.066,1952-04-01,9761.0,H, ,Boreal Cordillera,678.0
BC,58.789,-131.979,1952-08-01,1.2,H, ,Boreal Cordillera,419.0
BC,57.934,-131.175,1953-07-25,0.1,H, ,Boreal Cordillera,443.0
BC,57.905,-131.175,1953-08-13,0.2,H, ,Boreal Cordillera,289.0
BC,58.492,-129.479,1951-07-06,18.2,H, ,Boreal Cordillera,1268.0
BC,56.789,-122.07,1950-07-29,99767.297,H, ,Boreal PLain,789.0
BC,56.76,-121.267,1950-07-31,57.8,H, ,Boreal PLain,777.0
BC,56.713,-121.82,1950-07-29,1035.9,H, ,Boreal PLain,889.0
BC,56.789,-121.32,1950-08-26,76663.70299999998,H, ,Boreal PLain,806.0
BC,56.905,-122.017,1950-04-22,0.1,H, ,Boreal PLain,992.0
BC,56.568,-120.98,1950-05-23,256.9,H, ,Boreal PLain,788.0
BC,56.568,-120.98,1950-05-24,14.5,H, ,Boreal PLain,788.0
BC,56.568,-120.927,1950-06-01,76922.70299999998,H, ,Boreal PLain,762.0
BC,56.492,-121.124,1950-06-07,781.0,H, ,Boreal PLain,757.0
BC,56.376,-120.98,1950-06-12,1902.0,H, ,Boreal PLain,766.0
BC,56.626,-121.23,1950-06-17,0.1,H, ,Boreal PLain,770.0
BC,56.463,-121.177,1950-06-13,0.1,L, ,Boreal PLain,818.0
BC,56.789,-121.98,1952-05-01,1.2,H, ,Boreal PLain,973.0
BC,56.742,-122.374,1952-05-05,4.0,H, ,Boreal PLain,834.0
BC,56.539,-122.427,1952-05-05,21.8,H, ,Boreal PLain,832.0
BC,56.568,-121.427,1952-05-31,0.8,H, ,Boreal PLain,785.0
BC,56.347,-121.07,1952-05-28,97.1,H, ,Boreal PLain,807.0
BC,56.713,-121.82,1952-08-17,0.1,H, ,Boreal PLain,889.0
BC,56.318,-121.017,1952-10-05,4.0,H, ,Boreal PLain,809.0
BC,55.76,-123.626,1950-07-04,1294.9,L, ,Montane Cordillera,1096.0
BC,56.289,-124.017,1953-05-20,404.6,H, ,Montane Cordillera,672.0
BC,55.992,-122.126,1950-09-21,1.2,H, ,Montane Cordillera,1129.0
BC,55.992,-121.126,1950-06-29,242.8,L, ,Boreal PLain,700.0
BC,55.655,-120.98,1950-09-19,80.9,H, ,Boreal PLain,744.0
BC,55.818,-120.626,1950-09-20,2929.9,H, ,Boreal PLain,722.0
BC,56.039,-120.624,1950-09-20,560.4,H, ,Boreal PLain,775.0
BC,55.992,-121.126,1950-09-17,36.4,H, ,Boreal PLain,700.0
BC,55.992,-120.428,1950-09-20,48.5,H, ,Boreal PLain,755.0
BC,55.963,-120.73,1950-09-20,23067.1,H, ,Boreal PLain,763.0
BC,56.068,-120.48,1950-09-20,3366.9,H, ,Boreal PLain,642.0
BC,56.318,-120.73,1950-09-22,1968.3,H, ,Boreal PLain,594.0
BC,56.434,-120.48,1950-09-21,7510.899999999999,H, ,Boreal PLain,687.0
BC,55.655,-121.678,1950-05-09,643.4,H, ,Boreal PLain,673.0
BC,55.655,-120.98,1950-06-01,647.4,H, ,Boreal PLain,744.0
BC,55.934,-121.376,1950-06-02,2428.1,H, ,Boreal PLain,701.0
BC,55.876,-121.428,1950-06-02,161.8,H, ,Boreal PLain,705.0
BC,55.905,-120.678,1950-06-11,101.1,H, ,Boreal PLain,761.0
BC,55.992,-120.376,1950-06-19,323.7,H, ,Boreal PLain,567.0
BC,55.992,-121.928,1951-05-20,97.1,H, ,Boreal PLain,581.0
BC,55.713,-121.178,1952-05-01,101.1,H, ,Boreal PLain,556.0
BC,55.713,-120.825,1952-05-02,42.4,H, ,Boreal PLain,904.0
BC,55.818,-121.428,1952-04-29,449.2,H, ,Boreal PLain,811.0
BC,55.905,-121.928,1952-05-06,178.0,H, ,Boreal PLain,736.0
BC,55.742,-121.575,1952-05-08,874.1,H, ,Boreal PLain,882.0
BC,55.713,-121.178,1952-05-09,76.79999999999998,H, ,Boreal PLain,556.0
BC,55.76,-121.023,1952-05-09,80.9,H, ,Boreal PLain,699.0
BC,55.76,-121.376,1952-05-14,53.8,H, ,Boreal PLain,852.0
BC,55.742,-121.626,1952-05-13,47.7,H, ,Boreal PLain,943.0
BC,55.713,-121.23,1952-05-15,55.4,H, ,Boreal PLain,557.0
BC,55.963,-120.678,1952-05-25,0.1,H, ,Boreal PLain,750.0
BC,56.26,-120.017,1952-05-23,781.0,H, ,Boreal PLain,729.0
BC,55.905,-120.876,1952-05-27,54.6,H, ,Boreal PLain,864.0
BC,55.905,-121.273,1952-05-25,550.3,H, ,Boreal PLain,525.0
BC,55.713,-120.98,1952-10-15,1.2,H, ,Boreal PLain,785.0
BC,56.434,-120.73,1952-10-22,1.2,H, ,Boreal PLain,653.0
BC,55.789,-121.325,1953-05-06,14.1,H, ,Boreal PLain,847.0
BC,56.068,-121.07,1953-05-05,1214.0,H, ,Boreal PLain,441.0
BC,56.039,-121.07,1953-05-27,226.6,L, ,Boreal PLain,644.0
BC,55.818,-123.73,1950-06-28,250.9,L, ,Montane Cordillera,672.0
BC,56.01,-123.82,1950-08-02,0.1,L, ,Montane Cordillera,672.0
BC,55.934,-123.928,1950-08-06,186.1,L, ,Montane Cordillera,672.0
BC,56.539,-124.57,1951-06-01,0.1,H, ,Montane Cordillera,672.0
BC,55.963,-125.98,1952-05-31,0.1,H, ,Montane Cordillera,1728.0
BC,56.539,-124.624,1952-05-15,222.5,H, ,Montane Cordillera,987.0
BC,55.905,-125.73,1952-08-01,627.2,L, ,Montane Cordillera,848.0
BC,55.347,-127.678,1950-04-20,2.0,H, ,Pacific Maritime,241.0
BC,55.347,-127.73,1950-06-18,0.1,H, ,Pacific Maritime,575.0
BC,55.347,-127.73,1950-09-30,0.1,H, ,Pacific Maritime,575.0
BC,55.376,-127.678,1951-04-21,22.6,H, ,Pacific Maritime,277.0
BC,55.434,-127.73,1951-04-22,14.1,H, ,Pacific Maritime,292.0
BC,55.626,-127.98,1951-07-14,0.1,L, ,Pacific Maritime,522.0
BC,55.463,-127.678,1951-08-28,0.1,H, ,Pacific Maritime,462.0
BC,55.289,-129.075,1952-06-07,0.8,H, ,Pacific Maritime,103.0
BC,55.376,-128.928,1952-07-22,12.1,L, ,Pacific Maritime,348.0
BC,55.51,-127.73,1952-07-23,0.1,L, ,Pacific Maritime,406.0
BC,55.376,-127.678,1952-05-27,0.1,H, ,Pacific Maritime,277.0
BC,55.26,-127.575,1952-07-01,0.1,H, ,Pacific Maritime,257.0
BC,55.26,-127.575,1953-04-17,13.1,H, ,Pacific Maritime,257.0
BC,55.742,-127.73,1950-08-14,0.1,H, ,Montane Cordillera,682.0
BC,55.318,-127.575,1950-08-03,0.1,H, ,Montane Cordillera,713.0
BC,55.184,-126.773,1951-05-06,1.2,H, ,Montane Cordillera,1075.0
BC,55.347,-127.575,1951-08-15,8.0,H, ,Montane Cordillera,553.0
BC,55.376,-126.928,1951-09-01,8.0,L, ,Montane Cordillera,1640.0
BC,55.684,-127.273,1951-09-03,0.8,H, ,Montane Cordillera,1236.0
BC,55.434,-125.523,1951-09-01,0.1,H, ,Montane Cordillera,973.0
BC,55.655,-124.023,1952-05-28,3.6,H, ,Montane Cordillera,804.0
BC,55.289,-125.678,1952-08-01,1.6,L, ,Montane Cordillera,1276.0
BC,55.376,-124.575,1952-08-01,129.4,L, ,Montane Cordillera,1012.0
BC,55.934,-126.523,1952-08-01,2747.8,L, ,Montane Cordillera,944.0
BC,55.405,-129.825,1951-06-07,3.2,H, ,Pacific Maritime,0.0
BC,55.434,-129.825,1951-07-15,0.1,H, ,Pacific Maritime,148.0
BC,55.463,-129.48,1953-07-25,0.1,H, ,Pacific Maritime,0.0
BC,55.405,-130.023,1953-03-01,0.2,L, ,Pacific Maritime,0.0
BC,55.597,-121.678,1950-06-17,1.6,H, ,Montane Cordillera,1013.0
BC,55.539,-121.73,1950-06-19,647.4,L, ,Montane Cordillera,938.0
BC,55.242,-121.376,1950-06-19,388.4,L, ,Montane Cordillera,1201.0
BC,55.51,-122.575,1952-08-24,0.1,H, ,Montane Cordillera,721.0
BC,55.713,-121.773,1952-10-24,0.1,H, ,Montane Cordillera,1067.0
BC,55.626,-121.825,1952-10-26,1.2,H, ,Montane Cordillera,743.0
BC,53.818,-120.932,1950-06-29,0.1,L, ,Montane Cordillera,657.0
BC,55.289,-122.678,1950-06-13,3.2,H, ,Montane Cordillera,743.0
BC,54.26,-121.579,1952-06-25,0.1,L, ,Montane Cordillera,642.0
BC,54.376,-121.579,1952-07-31,18.2,L, ,Montane Cordillera,964.0
BC,54.789,-120.481,1950-09-21,938.8,H, ,Boreal PLain,1176.0
BC,55.376,-120.126,1950-05-16,32.3,H, ,Boreal PLain,876.0
BC,55.539,-120.876,1950-06-02,1424.4,H, ,Boreal PLain,1022.0
BC,55.568,-121.126,1950-06-11,489.6,H, ,Boreal PLain,782.0
BC,55.51,-121.178,1950-06-10,194.2,H, ,Boreal PLain,729.0
BC,55.597,-121.376,1952-05-08,1659.2,H, ,Boreal PLain,717.0
BC,55.51,-120.876,1952-05-12,117.3,H, ,Boreal PLain,996.0
BC,55.597,-121.575,1952-05-14,60.7,H, ,Boreal PLain,558.0
BC,54.934,-120.379,1952-05-23,71.6,H, ,Boreal PLain,986.0
BC,54.597,-125.129,1950-07-24,1.2,L, ,Montane Cordillera,839.0
BC,54.818,-124.981,1950-08-26,0.1,H, ,Montane Cordillera,691.0
BC,54.655,-125.028,1950-03-01,8.0,H, ,Montane Cordillera,717.0
BC,55.434,-126.678,1950-05-23,1.6,H, ,Montane Cordillera,779.0
BC,54.713,-126.278,1950-07-26,0.2,H, ,Montane Cordillera,1009.0
BC,55.347,-126.626,1950-09-13,0.1,H, ,Montane Cordillera,767.0
BC,54.347,-125.579,1950-10-01,0.1,H, ,Montane Cordillera,953.0
BC,54.568,-125.079,1950-06-02,8.0,H, ,Montane Cordillera,770.0
BC,55.26,-124.126,1950-06-27,0.1,H, ,Montane Cordillera,906.0
BC,54.597,-124.778,1950-06-26,0.1,L, ,Montane Cordillera,759.0
BC,54.51,-125.731,1951-06-14,0.1,H, ,Montane Cordillera,848.0
BC,54.626,-125.879,1951-08-05,0.1,H, ,Montane Cordillera,800.0
BC,54.51,-125.731,1951-08-27,0.2,H, ,Montane Cordillera,848.0
BC,54.51,-125.731,1951-09-02,0.1,H, ,Montane Cordillera,848.0
BC,54.51,-125.731,1951-09-04,0.1,H, ,Montane Cordillera,848.0
BC,54.213,-125.481,1951-04-01,3.2,H, ,Montane Cordillera,952.0
BC,54.347,-125.43,1951-09-18,0.8,H, ,Montane Cordillera,878.0
BC,54.713,-125.981,1951-07-15,0.2,H, ,Montane Cordillera,751.0
BC,54.097,-124.579,1951-07-20,0.2,L, ,Montane Cordillera,750.0
BC,54.847,-124.18,1951-08-08,7.6,L, ,Montane Cordillera,876.0
BC,54.963,-124.278,1951-08-19,0.1,H, ,Montane Cordillera,977.0
BC,54.51,-124.68,1951-08-29,0.1,H, ,Montane Cordillera,894.0
BC,54.597,-124.579,1951-09-05,0.1,H, ,Montane Cordillera,715.0
BC,54.76,-124.43,1950-12-31,4.0,L, ,Montane Cordillera,817.0
BC,55.26,-126.626,1952-07-23,1440.6,L, ,Montane Cordillera,821.0
BC,54.876,-126.231,1952-07-24,0.1,L, ,Montane Cordillera,918.0
BC,55.347,-126.376,1952-07-28,0.1,H, ,Montane Cordillera,932.0
BC,55.039,-126.178,1952-08-06,6.0,L, ,Montane Cordillera,1102.0
BC,54.242,-125.481,1952-08-09,6276.6,L, ,Montane Cordillera,1232.0
BC,54.51,-125.731,1952-08-13,0.1,H, ,Montane Cordillera,848.0
BC,55.434,-126.678,1952-08-14,0.1,H, ,Montane Cordillera,779.0
BC,55.434,-126.575,1952-08-06,16.1,L, ,Montane Cordillera,833.0
BC,55.539,-126.825,1952-08-12,4.0,L, ,Montane Cordillera,879.0
BC,54.184,-124.43,1952-05-15,0.1,L, ,Montane Cordillera,908.0
BC,54.568,-125.079,1952-05-10,20.2,H, ,Montane Cordillera,770.0
BC,54.568,-125.028,1952-05-10,32.3,H, ,Montane Cordillera,868.0
BC,54.568,-124.977,1952-05-01,0.1,H, ,Montane Cordillera,834.0
BC,54.568,-124.977,1952-05-06,40.4,H, ,Montane Cordillera,834.0
BC,54.568,-125.079,1952-05-30,56.2,H, ,Montane Cordillera,770.0
BC,54.463,-124.528,1952-08-03,0.8,H, ,Montane Cordillera,877.0
BC,55.01,-124.928,1952-08-01,206.7,L, ,Montane Cordillera,972.0
BC,54.568,-124.731,1952-08-10,0.4,H, ,Montane Cordillera,795.0
BC,55.097,-125.48,1952-08-10,16.9,L, ,Montane Cordillera,944.0
BC,54.463,-125.731,1952-05-14,12.1,H, ,Montane Cordillera,1074.0
BC,54.463,-125.629,1952-05-07,0.8,H, ,Montane Cordillera,962.0
BC,54.789,-126.129,1952-04-01,309.1,H, ,Montane Cordillera,730.0
