STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,FRE_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
5679,FIRE LAKE,QC,QUEBEC,QUÉBEC,CAN,522000000,-672200000,EST,609.60,7042371,,,N/A,G,1.0,9.0,,,,,1974-01-01 00:00:00,1974-12-01 00:00:00,,,1974-07-01 00:00:00,1974-08-31 00:00:00,1974-01-01 00:00:00,1974-12-01 00:00:00,Y,N,N
5680,FORESTVILLE,QC,QUEBEC,QUÉBEC,CAN,484400000,-690500000,EST,76.20,7042378,,,N/A,A,1.0,1.0,,,,,1963-01-01 00:00:00,1996-10-31 00:00:00,,,1963-01-01 00:00:00,1996-10-31 00:00:00,1963-01-01 00:00:00,1996-10-01 00:00:00,Y,N,N
5682,FORET MONTMORENCY,QC,QUEBEC,QUÉBEC,CAN,471900000,-710900000,EST,640.00,7042388,,,N/A,A,1.0,1.0,,,,,1965-01-01 00:00:00,2002-01-31 00:00:00,,,1965-07-01 00:00:00,2002-01-31 00:00:00,1965-01-01 00:00:00,2002-01-01 00:00:00,Y,N,N
5687,GRANDES BERGERONNES,QC,QUEBEC,QUÉBEC,CAN,481500000,-693100000,EST,61.00,7042840,,,Climate-Staffed,A,1.0,1.0,GOVQC,GOVQC,Government of Quebec,Gouvernement du Québec,1951-01-01 00:00:00,2023-02-28 00:00:00,,,1951-08-01 00:00:00,2023-02-28 00:00:00,1951-01-01 00:00:00,2015-11-01 00:00:00,Y,Y,N
5688,GRAND FONDS,QC,QUEBEC,QUÉBEC,CAN,474500000,-700700000,EST,365.80,7042870,,,N/A,D,1.0,5.0,,,,,1968-01-01 00:00:00,1991-11-01 00:00:00,,,1968-10-01 00:00:00,1991-05-31 00:00:00,1968-01-01 00:00:00,1991-11-01 00:00:00,Y,N,N
5693,HAVRE-SAINT-PIERRE A,QC,QUEBEC,QUÉBEC,CAN,501700000,-633600000,EST,37.80,7043018,YGV,71313,Aviation-Staffed,E,1.0,6.0,,,,,1983-12-01 00:00:00,2008-07-24 09:00:00,1983-12-05 05:00:00,2008-07-24 09:00:00,1983-12-01 00:00:00,2008-07-24 00:00:00,1984-01-01 00:00:00,1994-12-01 00:00:00,Y,N,Y
5696,LABRIEVILLE 2,QC,QUEBEC,QUÉBEC,CAN,491900000,-693500000,EST,137.20,7043543,,,N/A,,1.0,9.0,,,,,1959-01-01 00:00:00,1960-12-01 00:00:00,,,1959-02-01 00:00:00,1959-08-31 00:00:00,1959-01-01 00:00:00,1960-12-01 00:00:00,Y,N,N
5697,LA GALETTE,QC,QUEBEC,QUÉBEC,CAN,474400000,-704400000,EST,740.70,7043713,,,N/A,G,1.0,8.0,,,,,1963-01-01 00:00:00,1972-12-01 00:00:00,,,1963-01-01 00:00:00,1972-05-31 00:00:00,1963-01-01 00:00:00,1972-12-01 00:00:00,Y,N,N
5701,LES BUISSONS,QC,QUEBEC,QUÉBEC,CAN,490700000,-682300000,EST,15.00,7044288,,,Climate-Staffed,F,1.0,7.0,GOVQC,GOVQC,Government of Quebec,Gouvernement du Québec,1973-01-01 00:00:00,2024-05-31 00:00:00,,,1973-06-01 00:00:00,2024-05-31 00:00:00,1973-01-01 00:00:00,2018-02-01 00:00:00,Y,N,N
5711,MINGAN A,QC,QUEBEC,QUÉBEC,CAN,501700000,-640800000,EST,21.60,7044981,,,N/A,G,1.0,8.0,,,,,1978-01-01 00:00:00,1983-12-04 16:00:00,1978-12-01 05:00:00,1983-12-04 16:00:00,1978-11-01 00:00:00,1983-11-30 00:00:00,1978-01-01 00:00:00,1983-12-01 00:00:00,Y,N,N
5713,MONT STE ANNE,QC,QUEBEC,QUÉBEC,CAN,470500000,-705400000,EST,182.90,7045325,,,N/A,,1.0,9.0,,,,,1967-01-01 00:00:00,1967-12-01 00:00:00,,,1967-02-01 00:00:00,1967-03-31 00:00:00,1967-01-01 00:00:00,1967-12-01 00:00:00,Y,N,N
5722,POSTE MONTAGNAIS,QC,QUEBEC,QUÉBEC,CAN,515300000,-654400000,EST,609.60,7046212,,,N/A,D,1.0,5.0,,,,,1973-01-01 00:00:00,2004-04-30 00:00:00,,,1973-01-01 00:00:00,2004-04-30 00:00:00,1973-01-01 00:00:00,2004-04-01 00:00:00,Y,N,N
5729,SACRE COEUR,QC,QUEBEC,QUÉBEC,CAN,481500000,-695200000,EST,121.90,7046735,,,N/A,F,1.0,7.0,,,,,1982-01-01 00:00:00,1994-12-01 00:00:00,,,1982-08-01 00:00:00,1994-05-31 00:00:00,1982-01-01 00:00:00,1994-12-01 00:00:00,Y,N,N
8375,GATINEAU A,QC,QUEBEC,QUÉBEC,CAN,453100000,-753400000,EST,64.30,7032681,YND,,Aviation-Staffed,,,,,,,,1981-10-23 06:00:00,2012-10-11 13:00:00,1981-10-23 06:00:00,2012-10-11 13:00:00,,,,,N,N,Y
8496,CARLETON SUR MER,QC,QUEBEC,QUÉBEC,CAN,480800000,-660700000,EST,541.00,705AA86,,,N/A,,1.0,9.0,,,,,1968-10-01 00:00:00,1968-10-31 00:00:00,,,1968-10-01 00:00:00,1968-10-31 00:00:00,,,Y,N,N
4022,LOON,ON,ONTARIO,ONTARIO,CAN,483800000,-884600000,EST,323.10,6044612,,,N/A,G,1.0,8.0,,,,,1979-01-01 00:00:00,1980-12-01 00:00:00,,,1979-10-01 00:00:00,1980-10-31 00:00:00,1979-01-01 00:00:00,1980-12-01 00:00:00,Y,N,N
4032,NOLALU,ON,ONTARIO,ONTARIO,CAN,480900000,-895300000,EST,381.00,6045675,,,N/A,G,1.0,8.0,,,,,1973-01-01 00:00:00,1980-12-01 00:00:00,,,1973-11-01 00:00:00,1980-06-30 00:00:00,1973-01-01 00:00:00,1980-12-01 00:00:00,Y,N,N
4045,SAVANNE,ON,ONTARIO,ONTARIO,CAN,485800000,-901200000,EST,459.00,6047615,,,N/A,,1.0,9.0,,,,,1884-01-01 00:00:00,1954-12-01 00:00:00,,,1884-12-01 00:00:00,1954-09-30 00:00:00,1884-01-01 00:00:00,1954-12-01 00:00:00,Y,N,N
4047,SAVANT LAKE,ON,ONTARIO,ONTARIO,CAN,502800000,-902100000,EST,398.70,6047620,,,N/A,,1.0,9.0,,,,,1930-01-01 00:00:00,1944-12-01 00:00:00,,,1930-07-01 00:00:00,1944-07-31 00:00:00,1930-01-01 00:00:00,1944-12-01 00:00:00,Y,N,N
4050,THUNDER BAY MCS CENTRE,ON,ONTARIO,ONTARIO,CAN,481900000,-892300000,EST,231.60,6048K6J,,,N/A,G,1.0,9.0,,,,,1980-01-01 00:00:00,1984-12-01 00:00:00,,,1980-08-01 00:00:00,1984-11-30 00:00:00,1980-01-01 00:00:00,1984-12-01 00:00:00,Y,N,N
4055,THUNDER BAY A,ON,ONTARIO,ONTARIO,CAN,482210000,-891938038,EST,199.00,6048261,YQT,,Aviation-Staffed,C,1.0,4.0,,,,,1941-01-01 00:00:00,2012-04-12 13:00:00,1953-01-01 00:00:00,2012-04-12 13:00:00,1941-08-01 00:00:00,2004-12-05 00:00:00,1941-01-01 00:00:00,2004-10-01 00:00:00,Y,N,Y
4062,WHITEFISH LAKE,ON,ONTARIO,ONTARIO,CAN,481700000,-895500000,EST,399.00,6049466,,,Climate-Staffed,C,1.0,4.0,,,,,1980-01-01 00:00:00,2008-10-31 00:00:00,,,1980-04-01 00:00:00,2008-10-31 00:00:00,1980-01-01 00:00:00,2006-12-01 00:00:00,Y,Y,N
4064,BLIND RIVER,ON,ONTARIO,ONTARIO,CAN,461200000,-830000000,EST,183.20,6050801,,,N/A,,1.0,9.0,,,,,1926-01-01 00:00:00,1959-12-01 00:00:00,,,1926-04-01 00:00:00,1959-10-31 00:00:00,1926-01-01 00:00:00,1959-12-01 00:00:00,Y,N,N
4069,ELLIOT LAKE,ON,ONTARIO,ONTARIO,CAN,462300000,-823900000,EST,312.40,6052258,,,N/A,G,1.0,8.0,,,,,1959-01-01 00:00:00,1973-12-01 00:00:00,,,1959-11-01 00:00:00,1973-09-30 00:00:00,1959-01-01 00:00:00,1973-12-01 00:00:00,Y,N,N
4861,BELLEVILLE PAR LAB,ON,ONTARIO,ONTARIO,CAN,441000000,-772100000,EST,88.40,6150717,,,N/A,,1.0,9.0,,,,,1929-01-01 00:00:00,1959-12-01 00:00:00,,,1929-08-01 00:00:00,1959-06-30 00:00:00,1929-01-01 00:00:00,1959-12-01 00:00:00,Y,N,N
4873,BRADFORD SPRINGDALE,ON,ONTARIO,ONTARIO,CAN,440200000,-793700000,EST,221.00,6150867,,,N/A,G,1.0,8.0,,,,,1966-01-01 00:00:00,1982-05-31 00:00:00,,,1966-07-01 00:00:00,1982-05-31 00:00:00,1966-01-01 00:00:00,1981-12-01 00:00:00,Y,N,N
4895,CASTLETON,ON,ONTARIO,ONTARIO,CAN,440700000,-775300000,EST,167.60,6151264,,,N/A,G,1.0,9.0,,,,,1972-01-01 00:00:00,1973-12-01 00:00:00,,,1972-06-01 00:00:00,1973-02-28 00:00:00,1972-01-01 00:00:00,1973-12-01 00:00:00,Y,N,N
4907,CODRINGTON,ON,ONTARIO,ONTARIO,CAN,441000000,-774800000,EST,144.80,6151725,,,N/A,G,1.0,8.0,,,,,1965-01-01 00:00:00,1973-12-01 00:00:00,,,1965-06-01 00:00:00,1973-04-30 00:00:00,1965-01-01 00:00:00,1973-12-01 00:00:00,Y,N,N
5732,ST FEREOL,QC,QUEBEC,QUÉBEC,CAN,470700000,-705000000,EST,228.60,7047250,,,N/A,F,1.0,7.0,,,,,1915-01-01 00:00:00,1983-12-31 00:00:00,,,1915-06-01 00:00:00,1983-12-31 00:00:00,1915-01-01 00:00:00,1983-12-01 00:00:00,Y,N,N
5736,ST JOACHIM,QC,QUEBEC,QUÉBEC,CAN,470400000,-705000000,EST,7.60,7047415,,,N/A,,1.0,9.0,,,,,1922-01-01 00:00:00,1940-12-01 00:00:00,,,1922-07-01 00:00:00,1940-10-31 00:00:00,1922-01-01 00:00:00,1940-12-01 00:00:00,Y,N,N
5737,ST LAURENT ILE D'ORLEANS,QC,QUEBEC,QUÉBEC,CAN,465200000,-710300000,EST,61.00,7047442,,,N/A,G,1.0,9.0,,,,,1964-06-01 00:00:00,1974-12-01 00:00:00,,,1964-06-01 00:00:00,1974-10-31 00:00:00,1964-06-01 00:00:00,1974-12-01 00:00:00,Y,N,N
5743,TOUR LAC AUX PERLES,QC,QUEBEC,QUÉBEC,CAN,491000000,-695000000,EST,442.00,7048N13,,,N/A,F,1.0,9.0,,,,,1973-01-01 00:00:00,1978-12-01 00:00:00,,,1973-06-01 00:00:00,1978-09-30 00:00:00,1973-01-01 00:00:00,1978-12-01 00:00:00,Y,N,N
5749,MURDOCHVILLE HOLLAND,QC,QUEBEC,QUÉBEC,CAN,485700000,-653100000,EST,624.80,705ECH0,,,N/A,G,1.0,9.0,,,,,1973-01-01 00:00:00,1974-12-01 00:00:00,,,1973-06-01 00:00:00,1974-08-31 00:00:00,1973-01-01 00:00:00,1974-12-01 00:00:00,Y,N,N
5762,ANSE AU GRIFFON,QC,QUEBEC,QUÉBEC,CAN,485600000,-641700000,EST,61.00,7050195,,,N/A,E,1.0,6.0,,,,,1973-01-01 00:00:00,1985-12-01 00:00:00,,,1973-09-01 00:00:00,1985-01-31 00:00:00,1973-01-01 00:00:00,1985-12-01 00:00:00,Y,N,N
8997,KILLARNEY (AUT),ON,ONTARIO,ONTARIO,CAN,455800000,-812900000,EST,196.30,605DJ25,WBE,71460,Climate-Auto,,,,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1992-12-02 00:00:00,2023-02-24 05:00:00,1994-02-01 02:00:00,2023-02-24 05:00:00,1992-12-02 00:00:00,2023-02-24 00:00:00,,,Y,N,Y
9029,POINTE-DES-MONTS,QC,QUEBEC,QUÉBEC,CAN,491900000,-672252000,EST,5.90,704F0PN,WTG,71427,Climate-Auto,,,,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1992-12-02 00:00:00,2024-07-15 12:30:02,1994-02-01 02:00:00,2024-07-15 12:30:02,1992-12-02 00:00:00,2024-07-15 00:00:00,,,Y,N,Y
10205,KANGIRSUK A,QC,QUEBEC,QUÉBEC,CAN,600123000,-700013000,EST,123.80,7113382,YAS,,N/A,,,,DND,MDN,Department of National Defence,Ministère de la Défense nationale,1992-10-21 07:00:00,2015-09-10 13:00:00,1992-10-21 07:00:00,2015-09-10 13:00:00,,,,,N,N,Y
