fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,PROVINCE_CODE,HEATING_DEGREE_DAYS,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,LOCAL_DAY,LOCAL_MONTH,ID,MIN_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_SNOW,MEAN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,LOCAL_DATE,SPEED_MAX_GUST,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS,SNOW_ON_GROUND_FLAG,MEAN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,LOCAL_YEAR,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,CLIMATE_IDENTIFIER
0,50.905,-126.9292,2000-03-10,6.0,EGG ISLAND,BC,51.145,-127.50073,14.0,48.03193929023594,BC,11.3,,,,,10.0,3.0,1062646.2000.3.10,,2.0,0.0,6.7,,2000-03-10 00:00:00,,,,0.0,,,,11.3,,,2000.0,3.5,,,,3.5,0.0,1062646
1,49.2971,-122.2321,2000-08-21,0.2,PITT LAKE,BC,49.26,-122.31,7.6,6.992180638354297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,55.8,-124.8167,2005-06-20,0.01,MESILINKA CAMP,BC,56.07,-124.3,803.0,43.98404553858246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,49.877,-121.573,2000-08-06,0.1,LYTTON A,BC,50.1328,-121.3455,224.9,32.74205124944262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49.0667,-121.8333,2000-07-28,0.1,VEDDER SOUTH LICKMAN,BC,49.06,-122.0,15.2,12.160548493190031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,59.8392,-127.45,2001-05-06,0.03,IRON CREEK,YT,60.01,-127.51,868.7,19.272035744723127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,59.8042,-127.478,2001-05-06,0.2,IRON CREEK,YT,60.01,-127.51,868.7,22.938946598063943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,59.9227,-128.5143,2001-05-06,0.01,WATSON LAKE YTG,YT,60.04,-128.43,701.0,13.851873418946797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,59.6755,-129.061,2000-06-12,3.8,LOWER POST,BC,59.56,-128.3,583.1,44.6547624965357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,59.6695,-129.1578,2000-06-27,0.1,LOWER POST,BC,59.56,-128.3,583.1,49.726906781633865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,59.2448,-131.9168,2003-07-01,0.009,NAKONAKE RIVER,BC,59.0,-133.29,365.8,82.90206314128831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,59.9617,-121.3608,2000-06-27,1000.0,SAMBAA K'E,NT,60.2627,-121.142,498.0,35.575308711593905,NT,0.5,,,,,27.0,6.0,220CQHR.2000.6.27,,7.9,,17.5,,2000-06-27 00:00:00,,,,0.0,,,,27.0,,,2000.0,,,,,,0.0,220CQHR
12,59.9752,-121.0342,2000-07-11,12.0,SAMBAA K'E,NT,60.2627,-121.142,498.0,32.501109418607925,NT,2.6,,,,,11.0,7.0,220CQHR.2000.7.11,,9.9,,15.4,,2000-07-11 00:00:00,,,,0.0,,,,20.9,,,2000.0,,,,,,0.0,220CQHR
13,59.1767,-122.019,2001-06-13,5.0,FORT NELSON UA,BC,58.5029,-122.342207,378.3,77.14771869468933,BC,0.3,,,,,13.0,6.0,1192950.2001.6.13,,8.5,0.0,17.7,,2001-06-13 00:00:00,,,,0.0,,,,26.8,T,,2001.0,0.0,,T,,0.0,0.0,1192950
14,58.9347,-120.6967,2001-06-14,3.0,YOYO,BC,58.53,-121.3,579.1,56.8620908562336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,59.3552,-121.4983,2001-06-21,0.7,YOYO,BC,58.53,-121.3,579.1,92.4023268335488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,59.3507,-121.51,2001-07-02,0.75,YOYO,BC,58.53,-121.3,579.1,91.99154979923723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,59.1113,-121.52,2001-07-15,5.0,YOYO,BC,58.53,-121.3,579.1,65.82523420002406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,59.2223,-120.929,2001-07-15,1.0,YOYO,BC,58.53,-121.3,579.1,79.82847139303566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,59.2656,-120.9527,2000-05-18,0.1,YOYO,BC,58.53,-121.3,579.1,84.1393097741929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,59.2656,-120.9527,2000-05-18,0.1,YOYO,BC,58.53,-121.3,579.1,84.1393097741929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,59.2267,-120.9017,2000-06-26,29.0,YOYO,BC,58.53,-121.3,579.1,80.7296198197216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,59.2067,-120.8683,2000-06-26,0.2,YOYO,BC,58.53,-121.3,579.1,79.18253983026574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,59.2217,-120.8667,2000-06-26,0.01,YOYO,BC,58.53,-121.3,579.1,80.79382442892016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,59.4008,-120.6438,2000-06-26,0.1,PETITOT LO,AB,59.32,-119.37,777.2,72.69508738860188,AB,2.0,,,,,26.0,6.0,3075171.2000.6.26,,8.0,0.0,16.0,,2000-06-26 00:00:00,,,,0.0,,,,24.0,,,2000.0,1.2,,,,1.2,0.0,3075171
25,59.4022,-121.2593,2000-06-26,1.0,SAMBAA K'E,NT,60.2627,-121.142,498.0,95.84721931715067,NT,1.5,,,,,26.0,6.0,220CQHR.2000.6.26,,6.4,,16.5,,2000-06-26 00:00:00,,,,0.0,,,,26.6,,,2000.0,,,,,,0.0,220CQHR
26,59.1837,-121.1645,2000-06-29,0.1,YOYO,BC,58.53,-121.3,579.1,73.05866230426798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,59.4914,-120.9931,2000-07-10,2.0,SAMBAA K'E,NT,60.2627,-121.142,498.0,86.11206205667263,NT,1.4,,,,,10.0,7.0,220CQHR.2000.7.10,,7.5,,16.6,,2000-07-10 00:00:00,,,,0.0,,,,25.6,,,2000.0,,,,,,0.0,220CQHR
28,59.5019,-121.1274,2000-07-10,0.5,SAMBAA K'E,NT,60.2627,-121.142,498.0,84.54790525936457,NT,1.4,,,,,10.0,7.0,220CQHR.2000.7.10,,7.5,,16.6,,2000-07-10 00:00:00,,,,0.0,,,,25.6,,,2000.0,,,,,,0.0,220CQHR
29,59.418,-120.3227,2000-07-10,0.1,PETITOT LO,AB,59.32,-119.37,777.2,55.02878600904676,AB,1.5,,,,,10.0,7.0,3075171.2000.7.10,,11.0,0.0,16.5,,2000-07-10 00:00:00,,,,0.0,,,,22.0,,,2000.0,7.2,,,,7.2,,3075171
30,59.2533,-121.273,2000-07-11,0.2,YOYO,BC,58.53,-121.3,579.1,80.39173985829677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,59.2598,-121.2928,2000-07-11,0.009,YOYO,BC,58.53,-121.3,579.1,81.10016101433713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,59.1942,-120.5198,2000-07-25,2.0,PETITOT LO,AB,59.32,-119.37,777.2,66.79352634366073,AB,0.0,,,,,25.0,7.0,3075171.2000.7.25,,10.0,0.0,18.0,,2000-07-25 00:00:00,,,,0.0,,,,26.0,,,2000.0,0.0,,,,0.0,,3075171
33,59.1108,-120.6669,2000-07-26,0.1,YOYO,BC,58.53,-121.3,579.1,74.10908746809369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,59.0598,-121.3913,2000-07-26,0.1,YOYO,BC,58.53,-121.3,579.1,59.10826680797356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,58.9771,-121.459,2000-07-26,0.2,YOYO,BC,58.53,-121.3,579.1,50.52228073150842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,59.7187,-121.123,2001-07-01,1.0,SAMBAA K'E,NT,60.2627,-121.142,498.0,60.461283386803366,NT,3.4,,,,,1.0,7.0,220CQHR.2001.7.1,,7.5,,14.6,,2001-07-01 00:00:00,,,,0.0,,,,21.7,,,2001.0,,,,,,0.0,220CQHR
37,58.0617,-123.333,2001-10-04,4.0,MILE 351 ALASKA HWY,BC,58.41,-123.43,846.1,39.11860660799289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,57.2342,-122.8055,2000-10-07,0.1,TRUTCH MOUNTAIN,BC,57.23,-122.59,1066.8,12.96965226814008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,59.6667,-124.1575,2000-07-06,0.1,FORT LIARD,NT,60.14,-123.28,213.4,71.81353770447497,NT,0.0,,,,,6.0,7.0,2201579.2000.7.6,,11.7,0.0,20.6,,2000-07-06 00:00:00,,,,2.6,,,,29.4,,,2000.0,0.0,,,,0.0,0.0,2201579
40,57.8883,-120.8383,2000-07-10,1.2,SIERRA,BC,58.5,-121.25,566.3,72.12478862590405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,59.6259,-133.4838,2001-06-16,0.009,ATLIN,BC,59.34,-133.42,673.6,31.97399440783159,BC,5.5,,,,,16.0,6.0,1200560.2001.6.16,,6.0,0.0,12.5,,2001-06-16 00:00:00,,,,0.0,,,,19.0,,,2001.0,8.0,,,,8.0,0.0,1200560
42,59.7096,-135.0619,2003-06-06,0.01,LINDEMAN CITY,BC,59.47,-135.05,667.5,26.63398992090881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,58.189,-120.9862,2001-07-04,0.3,SIERRA,BC,58.5,-121.25,566.3,37.829507430589445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,58.12,-121.168,2001-07-05,1.5,SIERRA,BC,58.5,-121.25,566.3,42.49798674450284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,58.1667,-120.95,2001-07-08,8.0,SIERRA,BC,58.5,-121.25,566.3,40.96467821020246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,58.7767,-121.975,2001-06-12,3.0,FORT NELSON UA,BC,58.5029,-122.342207,378.3,37.10400205413613,BC,0.6,,,,,12.0,6.0,1192950.2001.6.12,,9.0,0.0,17.4,,2001-06-12 00:00:00,,,,0.0,,,,25.7,T,,2001.0,0.0,,T,,0.0,0.0,1192950
47,59.1555,-122.0545,2001-06-13,0.2,FORT NELSON UA,BC,58.5029,-122.342207,378.3,74.38413841361252,BC,0.3,,,,,13.0,6.0,1192950.2001.6.13,,8.5,0.0,17.7,,2001-06-13 00:00:00,,,,0.0,,,,26.8,T,,2001.0,0.0,,T,,0.0,0.0,1192950
48,58.7367,-122.4292,2001-06-15,4.0,MILE 306 ALASKA HWY,BC,58.51,-122.52,451.1,25.73401670268638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,58.4515,-121.546,2001-06-21,6.0,YOYO,BC,58.53,-121.3,579.1,16.739761656653013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,58.4353,-121.375,2001-06-21,3.0,SIERRA,BC,58.5,-121.25,566.3,10.220880977631944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,59.2367,-122.2588,2001-06-21,0.2,FORT NELSON UA,BC,58.5029,-122.342207,378.3,81.68425689767797,BC,0.0,,,,,21.0,6.0,1192950.2001.6.21,,13.0,0.0,19.0,,2001-06-21 00:00:00,,,,1.0,,,,25.0,,,2001.0,2.0,,,,2.0,0.0,1192950
52,58.2163,-122.634,2001-06-21,0.2,PROPHET RIVER,BC,58.13,-122.47,457.2,13.577066176547271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
