fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,ID,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_RAIN,DIRECTION_MAX_GUST_FLAG,LOCAL_DAY,LOCAL_DATE,SNOW_ON_GROUND,PROVINCE_CODE,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_PRECIPITATION
75000,54.837759,-107.365277,2019-05-20,0.1,ILE A LA CROSSE,SK,55.27,-107.52,420.6,49.03207518280959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001,54.808367,-106.844083,2016-06-30,0.4,SMOOTH STONE RIVER,SK,55.09,-106.16,434.3,53.71622079466957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75002,54.77655,-106.60905,2016-07-29,0.7,SMOOTH STONE RIVER,SK,55.09,-106.16,434.3,45.11320088967132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75003,55.0915,-107.515,2007-06-07,0.01,ILE A LA CROSSE,SK,55.27,-107.52,420.6,19.83836969307769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75004,54.990867,-107.4635,2012-07-11,0.3,ILE A LA CROSSE,SK,55.27,-107.52,420.6,31.225684645021257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75005,54.782233,-107.815117,2015-06-09,0.1,KEELEY LAKE,SK,54.52,-108.1,457.2,34.41856221376176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75006,55.1203,-107.519,2007-06-07,0.1,ILE A LA CROSSE,SK,55.27,-107.52,420.6,16.63555040743492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75007,55.0678,-107.499,2006-06-30,10500.0,ILE A LA CROSSE,SK,55.27,-107.52,420.6,22.50899541008348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75008,55.1562,-107.521,2001-05-02,4.0,ILE A LA CROSSE,SK,55.27,-107.52,420.6,12.646196836408595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75009,54.6013,-109.369,2006-05-07,0.1,JIMMY LAKE AWOS,SK,54.543005,-109.574308,637.1,14.726587428304178,M,,24.0,,4063623.2006.5.7,18.4,,5.7,,,7.0,2006-05-07 00:00:00,,SK,29.0,0.0,,,,,2006.0,5.0,,M,12.1,4063623,,,,44.0,5.9,94.0,0.5
75010,54.4668,-109.125,2003-07-01,0.05,GOODSOIL,SK,54.24,-109.14,506.0,25.221889966756244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75011,54.4527,-109.769,2009-05-31,2.0,JIMMY LAKE AWOS,SK,54.543005,-109.574308,637.1,16.079950228962563,M,,28.0,,4063623.2009.5.31,16.0,,6.0,,,31.0,2009-05-31 00:00:00,,SK,29.0,0.0,,,,,2009.0,5.0,,M,11.0,4063623,,,,48.0,7.0,91.0,0.0
75012,54.6738,-109.857,2003-07-31,0.01,JIMMY LAKE AWOS,SK,54.543005,-109.574308,637.1,23.28671248462313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75013,54.7193,-109.868,2002-06-12,0.2,JIMMY LAKE AWOS,SK,54.543005,-109.574308,637.1,27.215387902971848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75014,54.6573,-108.5,2002-09-11,0.01,KEELEY LAKE,SK,54.52,-108.1,457.2,29.936117490771807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75015,54.492667,-109.635333,2016-05-02,6.2,JIMMY LAKE AWOS,SK,54.543005,-109.574308,637.1,6.839953182786345,M,,,,4063623.2016.5.2,26.5,,7.6,,,2.0,2016-05-02 00:00:00,,SK,0.0,0.0,,,,M,2016.0,5.0,,M,17.1,4063623,,,,0.0,0.9,,
75016,54.4807,-109.674617,2016-07-03,0.1,JIMMY LAKE AWOS,SK,54.543005,-109.574308,637.1,9.47694200667801,M,,,,4063623.2016.7.3,25.3,,13.4,,,3.0,2016-07-03 00:00:00,,SK,31.0,1.4,,,,,2016.0,7.0,,M,19.4,4063623,,,,52.0,0.0,,15.0
75017,54.550433,-108.681267,2016-07-27,0.1,KEELEY LAKE,SK,54.52,-108.1,457.2,37.62939488158453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75018,54.4952,-104.181,2009-06-16,0.01,MILE 97,SK,54.36,-104.13,424.0,15.381596338483408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75019,54.2662,-103.671,2002-07-07,70.0,MILE 97,SK,54.36,-104.13,424.0,31.52774276320045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75020,53.801,-104.034,2003-06-16,0.3,CUB HILLS,SK,54.17,-104.33,716.3,45.33740254733463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75021,54.0908,-103.296,2001-08-21,1.2,DESCHAMBAULT LAKE,SK,54.4,-103.24,373.0,34.55174955953228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75022,54.172,-104.167,2008-07-04,36.0,CUB HILLS,SK,54.17,-104.33,716.3,10.605329722620306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75023,54.2552,-102.8438,2000-06-29,0.6,DESCHAMBAULT LAKE,SK,54.4,-103.24,373.0,30.300303805163647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
