fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,DIRECTION_MAX_GUST,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS_FLAG,LOCAL_DAY,LOCAL_YEAR,HEATING_DEGREE_DAYS_FLAG,PROVINCE_CODE,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,COOLING_DEGREE_DAYS,ID,SNOW_ON_GROUND,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,TOTAL_PRECIPITATION_FLAG,MAX_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION,MIN_TEMPERATURE,TOTAL_SNOW,LOCAL_MONTH,SPEED_MAX_GUST,MAX_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_RAIN_FLAG,LOCAL_DATE,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS
100000,52.35,-88.64499999999998,2015-06-30,2.0,LANSDOWNE HOUSE (AUT),ON,52.1146,-87.561,253.4,78.27621995023758,0.0,10.3,M,,30.0,2015.0,,ON,,,0.0,6014353.2015.6.30,,,,M,,,6014353,,3.6,,6.0,0.0,17.0,,,M,2015-06-30 00:00:00,,,,7.7
100001,52.0929,-88.4385,2015-06-26,7.0,LANSDOWNE HOUSE A,ON,52.1145,-87.561,254.2,59.94309605872022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100002,52.4716,-89.8217,2015-06-27,35.0,BIG TROUT LAKE READAC,ON,53.4856,-89.5344,222.2,114.30856645154329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100003,52.5713,-89.0429,2015-06-29,1.0,BIG TROUT LAKE A,ON,53.4858,-89.533,222.5,106.77142973073832,3.0,10.6,M,,29.0,2015.0,,ON,,,0.0,6010735.2015.6.29,,,,,,,6010735,0.3,4.8,,6.0,39.0,16.3,,,M,2015-06-29 00:00:00,,,,7.4
100004,52.3231,-90.3257,2016-07-21,15.1999998093,CENTRAL PATRICIA,ON,51.3,-90.09,345.0,114.8393532536766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100005,52.4247,-89.7136,2016-07-21,12.8999996185,BIG TROUT LAKE READAC,ON,53.4856,-89.5344,222.2,118.5013473767523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100006,52.4847,-89.3482,2017-08-15,15.0,BIG TROUT LAKE READAC,ON,53.4856,-89.5344,222.2,111.92039169843412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100007,52.0283,-89.2367,2017-08-16,6.0,CENTRAL PATRICIA,ON,51.3,-90.09,345.0,100.0452728282571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100008,52.2212,-89.4807,2017-08-24,10.0,CENTRAL PATRICIA,ON,51.3,-90.09,345.0,110.61355646728808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100009,52.371,-90.083,2017-07-17,3.20000004768,CENTRAL PATRICIA,ON,51.3,-90.09,345.0,119.0159669951284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
