fire_id,agency,lat,lon,coords,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,COORDINATES,ELEVATION,CLIMATE_IDENTIFIER,fire_lat_radians,fire_lon_radians,clim_lat_radians,clim_lon_radians,distance
0,BC,50.905,-126.9292,"50.905,-126.9292",2000-03-10,6.0,EGG ISLAND,BC,51.145,-127.50073,"51.145,-127.50073",14.0,1062646,0.8884598557277135,-2.2153324569223862,0.8926486459324999,-2.22530753719631,48.03193929023594
1,BC,49.2971,-122.2321,"49.2971,-122.2321",2000-08-21,0.2,PITT LAKE,BC,49.26,-122.31,"49.26,-122.31",7.6,1106174,0.8603967066848967,-2.133352596626961,0.8597491895324068,-2.1347122081142644,6.992180638354297
2,BC,55.8,-124.8167,"55.8,-124.8167",2005-06-20,0.01,MESILINKA CAMP,BC,56.07,-124.3,"56.07,-124.3",803.0,1185103,0.9738937226128358,-2.1784623764740063,0.9786061115932205,-2.1694442602289516,43.98404553858246
3,BC,49.877,-121.573,"49.877,-121.573",2000-08-06,0.1,LYTTON RCS,BC,50.1328,-121.3455,"50.1328,-121.3455",225.0,1114746,0.8705178710172118,-2.1218491315270662,0.8749824232438133,-2.117878507478779,32.74205124944262
4,BC,49.0667,-121.8333,"49.0667,-121.8333",2000-07-28,0.1,VEDDER SOUTH LICKMAN,BC,49.06,-122.0,"49.06,-122.0",15.2,1108530,0.8563754680883017,-2.1263922235700075,0.8562585310284181,-2.129301687433082,12.160548493190033
5,BC,59.8392,-127.45,"59.8392,-127.45",2001-05-06,0.03,IRON CREEK,YT,60.01,-127.51,"60.01,-127.51",868.7,2100650,1.0443910617593908,-2.224422131666773,1.047372084121797,-2.2254693292179697,19.272035744723127
6,BC,59.8042,-127.478,"59.8042,-127.478",2001-05-06,0.2,IRON CREEK,YT,60.01,-127.51,"60.01,-127.51",868.7,2100650,1.0437801965211928,-2.224910823857331,1.047372084121797,-2.2254693292179697,22.938946598063943
7,BC,59.9227,-128.5143,"59.9227,-128.5143",2001-05-06,0.01,WATSON LAKE YTG,YT,60.04,-128.43,"60.04,-128.43",701.0,2101222,1.0458484116848061,-2.2429976708957486,1.0478956828973955,-2.2415263583363174,13.851873418946795
8,BC,59.6755,-129.061,"59.6755,-129.061",2000-06-12,3.8,LOWER POST,BC,59.56,-128.3,"59.56,-128.3",583.1,1194722,1.041533957773876,-2.2525393859164016,1.0395181024878226,-2.239257430308725,44.6547624965357
9,BC,59.6695,-129.1578,"59.6695,-129.1578",2000-06-27,0.1,LOWER POST,BC,59.56,-128.3,"59.56,-128.3",583.1,1194722,1.0414292380187564,-2.2542288646323323,1.0395181024878226,-2.239257430308725,49.726906781633865
10,BC,59.2448,-131.9168,"59.2448,-131.9168",2003-07-01,0.009,NAKONAKE RIVER,BC,59.0,-133.29,"59.0,-133.29",365.8,1205295,1.0340168246855366,-2.302382498694856,1.0297442586766545,-2.326349359983242,82.90206314128831
11,BC,59.9617,-121.3608,"59.9617,-121.3608",2000-06-27,1000.0,SAMBAA K'E,NT,60.2627,-121.142,"60.2627,-121.142",498.0,220CQHR,1.046529090093084,-2.118145542854334,1.051782531141587,-2.1143267624509705,35.575308711593905
12,BC,59.9752,-121.0342,"59.9752,-121.0342",2000-07-11,12.0,SAMBAA K'E,NT,60.2627,-121.142,"60.2627,-121.142",498.0,220CQHR,1.046764709542103,-2.1124452975173207,1.051782531141587,-2.1143267624509705,32.501109418607925
13,BC,59.1767,-122.019,"59.1767,-122.019",2001-06-13,5.0,FORT NELSON UA,BC,58.5029,-122.342207,"58.5029,-122.342207",378.3,1192950,1.0328282554649284,-2.129633299990961,1.0210682269649907,-2.135274326306454,77.14771869468933
14,BC,58.9347,-120.6967,"58.9347,-120.6967",2001-06-14,3.0,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.028604558675102,-2.10655481129184,1.021541211192281,-2.117084382669122,56.8620908562336
15,BC,59.3552,-121.4983,"59.3552,-121.4983",2001-06-21,0.7,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0359436681797383,-2.1205453705758264,1.021541211192281,-2.117084382669122,92.4023268335488
16,BC,59.3507,-121.51,"59.3507,-121.51",2001-07-02,0.75,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0358651283633986,-2.1207495740983098,1.021541211192281,-2.117084382669122,91.99154979923723
17,BC,59.1113,-121.52,"59.1113,-121.52",2001-07-15,5.0,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.031686810134124,-2.120924107023509,1.021541211192281,-2.117084382669122,65.82523420002406
18,BC,59.2223,-120.929,"59.2223,-120.929",2001-07-15,1.0,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0336241256038379,-2.1106092111442227,1.021541211192281,-2.117084382669122,79.82847139303566
19,BC,59.2656,-120.9527,"59.2656,-120.9527",2000-05-18,0.1,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0343798531699513,-2.1110228541769454,1.021541211192281,-2.117084382669122,84.1393097741929
20,BC,59.2656,-120.9527,"59.2656,-120.9527",2000-05-18,0.1,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0343798531699513,-2.1110228541769454,1.021541211192281,-2.117084382669122,84.1393097741929
21,BC,59.2267,-120.9017,"59.2267,-120.9017",2000-06-26,29.0,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0337009200909255,-2.1101327362584286,1.021541211192281,-2.117084382669122,80.7296198197216
22,BC,59.2067,-120.8683,"59.2067,-120.8683",2000-06-26,0.2,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0333518542405267,-2.1095497962882623,1.021541211192281,-2.117084382669122,79.18253983026574
23,BC,59.2217,-120.8667,"59.2217,-120.8667",2000-06-26,0.01,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0336136536283258,-2.10952187102023,1.021541211192281,-2.117084382669122,80.79382442892016
24,BC,59.4008,-120.6438,"59.4008,-120.6438",2000-06-26,0.1,PETITOT LO,AB,59.32,-119.37,"59.32,-119.37",777.2,3075171,1.0367395383186477,-2.1056315321175347,1.0353293122830363,-2.0833995281056312,72.69508738860188
25,BC,59.4022,-121.2593,"59.4022,-121.2593",2000-06-26,1.0,SAMBAA K'E,NT,60.2627,-121.142,"60.2627,-121.142",498.0,220CQHR,1.0367639729281757,-2.11637403366356,1.051782531141587,-2.1143267624509705,95.84721931715069
26,BC,59.1837,-121.1645,"59.1837,-121.1645",2000-06-29,0.1,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0329504285125681,-2.1147194615326694,1.021541211192281,-2.117084382669122,73.05866230426798
27,BC,59.4914,-120.9931,"59.4914,-120.9931",2000-07-10,2.0,SAMBAA K'E,NT,60.2627,-121.142,"60.2627,-121.142",498.0,220CQHR,1.0383208066209546,-2.111727967194751,1.051782531141587,-2.1143267624509705,86.11206205667263
28,BC,59.5019,-121.1274,"59.5019,-121.1274",2000-07-10,0.5,SAMBAA K'E,NT,60.2627,-121.142,"60.2627,-121.142",498.0,220CQHR,1.0385040661924139,-2.1140719443801794,1.051782531141587,-2.1143267624509705,84.54790525936457
29,BC,59.418,-120.3227,"59.418,-120.3227",2000-07-10,0.1,PETITOT LO,AB,59.32,-119.37,"59.32,-119.37",777.2,3075171,1.0370397349499907,-2.1000272798893813,1.0353293122830363,-2.0833995281056312,55.02878600904676
30,BC,59.2533,-121.273,"59.2533,-121.273",2000-07-11,0.2,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.034165177671956,-2.116613143771083,1.021541211192281,-2.117084382669122,80.39173985829677
31,BC,59.2598,-121.2928,"59.2598,-121.2928",2000-07-11,0.009,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0342786240733357,-2.116958718962978,1.021541211192281,-2.117084382669122,81.10016101433713
32,BC,59.1942,-120.5198,"59.1942,-120.5198",2000-07-25,2.0,PETITOT LO,AB,59.32,-119.37,"59.32,-119.37",777.2,3075171,1.0331336880840274,-2.103467323845062,1.0353293122830363,-2.0833995281056312,66.79352634366073
33,BC,59.1108,-120.6669,"59.1108,-120.6669",2000-07-26,0.1,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.031678083487864,-2.1060347031747457,1.021541211192281,-2.117084382669122,74.10908746809369
34,BC,59.0598,-121.3913,"59.0598,-121.3913",2000-07-26,0.1,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.030787965569347,-2.1186778682761926,1.021541211192281,-2.117084382669122,59.10826680797356
35,BC,58.9771,-121.459,"58.9771,-121.459",2000-07-26,0.2,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0293445782779478,-2.119859456179793,1.021541211192281,-2.117084382669122,50.52228073150842
36,BC,59.7187,-121.123,"59.7187,-121.123",2001-07-01,1.0,SAMBAA K'E,NT,60.2627,-121.142,"60.2627,-121.142",498.0,220CQHR,1.0422879400107377,-2.113995149893092,1.051782531141587,-2.1143267624509705,60.461283386803366
37,BC,58.0617,-123.333,"58.0617,-123.333",2001-10-04,4.0,MILE 351 ALASKA HWY,BC,58.41,-123.43,"58.41,-123.43",846.1,1195A29,1.0133678343051917,-2.1525669263621663,1.0194468160898877,-2.154259895736601,39.11860660799289
38,BC,57.2342,-122.8055,"57.2342,-122.8055",2000-10-07,0.1,TRUTCH MOUNTAIN,BC,57.23,-122.59,"57.23,-122.59",1066.8,1198282,0.9989252347449386,-2.143360314557896,0.9988519309163547,-2.1395991300198487,12.969652268140079
39,BC,59.6667,-124.1575,"59.6667,-124.1575",2000-07-06,0.1,FORT LIARD,NT,60.14,-123.28,"60.14,-123.28",213.4,2201579,1.0413803687997005,-2.1669571660448597,1.0496410121493898,-2.1516419018586097,71.81353770447497
40,BC,57.8883,-120.8383,"57.8883,-120.8383",2000-07-10,1.2,SIERRA,BC,58.5,-121.25,"58.5,-121.25",566.3,1197331,1.0103414333822336,-2.109026197512664,1.0210176124166828,-2.1162117180431244,72.12478862590405
41,BC,59.6259,-133.4838,"59.6259,-133.4838",2001-06-16,0.009,ATLIN,BC,59.34,-133.42,"59.34,-133.42",673.6,1200560,1.040668274464887,-2.329731808073607,1.035678378133435,-2.3286182880108344,31.97399440783159
42,BC,59.7096,-135.0619,"59.7096,-135.0619",2003-06-06,0.01,LINDEMAN CITY,BC,59.47,-135.05,"59.47,-135.05",667.5,1204632,1.0421291150488061,-2.3572748489993294,1.0379473061610278,-2.3570671548183424,26.63398992090881
43,BC,58.189,-120.9862,"58.189,-120.9862",2001-07-04,0.3,SIERRA,BC,58.5,-121.25,"58.5,-121.25",566.3,1197331,1.0155896384429803,-2.1116075394763634,1.0210176124166828,-2.1162117180431244,37.829507430589445
44,BC,58.12,-121.168,"58.12,-121.168",2001-07-05,1.5,SIERRA,BC,58.5,-121.25,"58.5,-121.25",566.3,1197331,1.0143853612591043,-2.114780548056489,1.0210176124166828,-2.1162117180431244,42.49798674450284
45,BC,58.1667,-120.95,"58.1667,-120.95",2001-07-08,8.0,SIERRA,BC,58.5,-121.25,"58.5,-121.25",566.3,1197331,1.0152004300197857,-2.1109757302871417,1.0210176124166828,-2.1162117180431244,40.96467821020246
46,BC,58.7767,-121.975,"58.7767,-121.975",2001-06-12,3.0,FORT NELSON UA,BC,58.5029,-122.342207,"58.5029,-122.342207",378.3,1192950,1.025846938456951,-2.1288653551200833,1.0210682269649907,-2.135274326306454,37.104002054136124
